"LIBRARYNAME","TABLENAME","APPROXIMATEROWCOUNT"
"MW4FILE","ARCASH","46126"
"MW4FILE","ARCBNK","0"
"MW4FILE","ARCHEXC","273"
"MW4FILE","ARCHSARC","0"
"MW4FILE","ARCOMB","0"
"MW4FILE","ARCOMM","0"
"MW4FILE","ARCRDCD","0"
"MW4FILE","ARCTIME","0"
"MW4FILE","ARCUSBC","0"
"MW4FILE","ARCUSBCT","0"
"MW4FILE","ARCUSCHG","4091"
"MW4FILE","ARCUSCRM","0"
"MW4FILE","ARCUSER","0"
"MW4FILE","ARCUSGL","1"
"MW4FILE","ARCUSHST","1279"
"MW4FILE","ARCUSHWF","0"
"MW4FILE","ARCUSPK","0"
"MW4FILE","ARCUSPKS","0"
"MW4FILE","ARCUST","1278"
"MW4FILE","ARCUST_B4","438"
"MW4FILE","ARCUST_01","383"
"MW4FILE","ARCUST_40","55"
"MW4FILE","ARCUSYEH","6342"
"MW4FILE","ARDCRP","12"
"MW4FILE","ARDEFALT","0"
"MW4FILE","ARDETAL","147556"
"MW4FILE","ARDTARC","0"
"MW4FILE","ARECONCL","158"
"MW4FILE","AREDIID","0"
"MW4FILE","AREDITR","0"
"MW4FILE","AREDITRO","0"
"MW4FILE","ARFRTVND","0"
"MW4FILE","ARGLTR","339704"
"MW4FILE","ARINFO","308"
"MW4FILE","ARINV","0"
"MW4FILE","ARINVHP","0"
"MW4FILE","ARINVP","0"
"MW4FILE","ARINVPW","0"
"MW4FILE","ARLOCK","8"
"MW4FILE","ARMOVE","0"
"MW4FILE","AROEHITS","6911"
"MW4FILE","ARPAYHST","90559"
"MW4FILE","ARREAS","9"
"MW4FILE","ARRIVLWK","0"
"MW4FILE","ARSPCINF","0"
"MW4FILE","ARWEBCUST","0"
"MW4FILE","ARWOFF","0"
"MW4FILE","AR222PF","0"
"MW4FILE","AR801CSV","0"
"MW4FILE","AR802CSV","0"
"MW4FILE","AR802DCSV","0"
"MW4FILE","AR808CSV","0"
"MW4FILE","AR811CSV","0"
"MW4FILE","AR814CSV","0"
"MW4FILE","AR815CSV","0"
"MW4FILE","AR815CSVX","0"
"MW4FILE","AR833CSV","0"
"MW4FILE","AR891CSV","0"
"MW4FILE","ASNDTAIL","0"
"MW4FILE","ASNTAG","0"
"MW4FILE","BANKREC","0"
"MW4FILE","BCCHECKS","99"
"MW4FILE","BCCUST","0"
"MW4FILE","BCFMTS","0"
"MW4FILE","BCFORM","0"
"MW4FILE","BCINFO","0"
"MW4FILE","BCOVROUTQ","0"
"MW4FILE","BCOVROUTQX","0"
"MW4FILE","BCPASSWRD","0"
"MW4FILE","BCPRTR","0"
"MW4FILE","BCSHPLBL","0"
"MW4FILE","BCSTKLBL","0"
"MW4FILE","BC420ADM","0"
"MW4FILE","BC426WF","0"
"MW4FILE","BC500WF","0"
"MW4FILE","BDSEPR","9653"
"MW4FILE","BDSEPRBH","148"
"MW4FILE","BILLDAYS","7"
"MW4FILE","BILLOSRV","0"
"MW4FILE","BKRECHST","0"
"MW4FILE","BLDCMNT","0"
"MW4FILE","BLDHEADR","0"
"MW4FILE","BLDINFO","0"
"MW4FILE","BLDMAIN","0"
"MW4FILE","BMDETAIL","0"
"MW4FILE","BMPMATRX","0"
"MW4FILE","BOACASH","0"
"MW4FILE","BOEAGING","0"
"MW4FILE","BOLAUDIT","0"
"MW4FILE","BOLCHRG","0"
"MW4FILE","BOLCMNT","0"
"MW4FILE","BOLCUST","0"
"MW4FILE","BOLHADDI","0"
"MW4FILE","BOLHEADR","0"
"MW4FILE","BOLINFO","0"
"MW4FILE","BOLLOAD","0"
"MW4FILE","BOLMAIN","0"
"MW4FILE","BOLMDTL","0"
"MW4FILE","BOLMHDR","0"
"MW4FILE","BOOKINF","9"
"MW4FILE","BOOKINFP","0"
"MW4FILE","BOOKPERP","0"
"MW4FILE","BOOKWEEK","0"
"MW4FILE","BOUNTYFL","0"
"MW4FILE","BUYDIR","0"
"MW4FILE","BUYER","14"
"MW4FILE","BUYREQUST","0"
"MW4FILE","CALENDAR","192"
"MW4FILE","CARTDTL","0"
"MW4FILE","CARTMAST","0"
"MW4FILE","CARTSEQ","0"
"MW4FILE","CASHWF","0"
"MW4FILE","CCLSMT","35478"
"MW4FILE","CCLSUM","1"
"MW4FILE","CCLSYT","9909"
"MW4FILE","CCTRANS","0"
"MW4FILE","CCTRNHST","0"
"MW4FILE","CCUTDTMX","0"
"MW4FILE","CCUTHDMX","0"
"MW4FILE","CDIMPIN","0"
"MW4FILE","CDIMPORT","0"
"MW4FILE","CDINTW","0"
"MW4FILE","CERTCMNT","0"
"MW4FILE","CERTST","0"
"MW4FILE","CHEMMILL","0"
"MW4FILE","CHEMSTD","0"
"MW4FILE","CHEMTAGM","8"
"MW4FILE","CHEMTLAB","0"
"MW4FILE","CHGHST","68356"
"MW4FILE","CHGWHLOCP","0"
"MW4FILE","CLIMITA","236"
"MW4FILE","CLSPRXBL","0"
"MW4FILE","CMMAJOR","8"
"MW4FILE","CMMINOR","17"
"MW4FILE","CMPSMSTD","0"
"MW4FILE","CMRESLVE","0"
"MW4FILE","CNCOIL","0"
"MW4FILE","CNCOILH","0"
"MW4FILE","CNCOILS","0"
"MW4FILE","CNCOILT","0"
"MW4FILE","CNINDATA","0"
"MW4FILE","CNITEMXRF","0"
"MW4FILE","CNITMSKD","0"
"MW4FILE","CNMACHXRF","0"
"MW4FILE","CNMPDETAIL","0"
"MW4FILE","CNMPDETAI2","0"
"MW4FILE","CNMPDETAI3","0"
"MW4FILE","CNMPINP","0"
"MW4FILE","CNMPUSE","0"
"MW4FILE","CNMPUSEE","0"
"MW4FILE","CNSSMANP","0"
"MW4FILE","COATSURF","0"
"MW4FILE","COLCMT","2"
"MW4FILE","COMMINC","0"
"MW4FILE","COMPINFO","0"
"MW4FILE","COMPSMO","287"
"MW4FILE","CONITMFL","0"
"MW4FILE","CONSINV","0"
"MW4FILE","CONTCODE","12"
"MW4FILE","CONTPART","0"
"MW4FILE","CONTPNCH","0"
"MW4FILE","CONTRELS","0"
"MW4FILE","CONTSERV","0"
"MW4FILE","CONTWIP","0"
"MW4FILE","COST1","0"
"MW4FILE","COUNTRY","171"
"MW4FILE","COVERPAGE","0"
"MW4FILE","CRANAL","5"
"MW4FILE","CRAPLHIS","33"
"MW4FILE","CRCOMCRM","0"
"MW4FILE","CRCOMMNT","22313"
"MW4FILE","CRCRDTYP","1"
"MW4FILE","CRDETAIL","5447"
"MW4FILE","CRDETAQ0","0"
"MW4FILE","CRDETAQ2","0"
"MW4FILE","CRDETQWF","0"
"MW4FILE","CRHEADER","5445"
"MW4FILE","CRHIST","148537"
"MW4FILE","CROSSREF","0"
"MW4FILE","CSLCMTQ","0"
"MW4FILE","CSTCLST","0"
"MW4FILE","CSWF951","0"
"MW4FILE","CURRCODE","2"
"MW4FILE","CUSBOLNM","0"
"MW4FILE","CUSCONTR","0"
"MW4FILE","CUSCONUP","0"
"MW4FILE","CUSGRPIDX","0"
"MW4FILE","CUSGRPPF","0"
"MW4FILE","CUSINVAD","1278"
"MW4FILE","CUSPRCLS","3"
"MW4FILE","CUSPRCOD","0"
"MW4FILE","CUSTADD","7"
"MW4FILE","CUSTDFWC","0"
"MW4FILE","CUSTGRP","0"
"MW4FILE","CUSTINV","0"
"MW4FILE","CUSTITEM","0"
"MW4FILE","CUSTMAIL","0"
"MW4FILE","CUSTMAILD","0"
"MW4FILE","CUSTMAILDA","0"
"MW4FILE","CUSTMARK","0"
"MW4FILE","CUSTMCRM","0"
"MW4FILE","CUSTOMS","0"
"MW4FILE","CUSTPARN","8"
"MW4FILE","CUTLANG","0"
"MW4FILE","CUTTFLAM","0"
"MW4FILE","CUTTHEAD","383"
"MW4FILE","CUTTING","0"
"MW4FILE","CUTTMTX","640"
"MW4FILE","CUTTOLD","377"
"MW4FILE","CYCLEITM","0"
"MW4FILE","CYCLEMST","0"
"MW4FILE","DBDWRK","81"
"MW4FILE","DBHWRK","79"
"MW4FILE","DCREASON","0"
"MW4FILE","DELCODE","5"
"MW4FILE","DELTRACK","3890"
"MW4FILE","DEVHIST","0"
"MW4FILE","DISPATWK","0"
"MW4FILE","DISTMPL","0"
"MW4FILE","DISTRAFF","329"
"MW4FILE","DISTRPRT","2"
"MW4FILE","DISTSMO","0"
"MW4FILE","DIVNAME","1"
"MW4FILE","DMGTYPE","1"
"MW4FILE","DOCCODPF","0"
"MW4FILE","DOCCUSPF","0"
"MW4FILE","DOCORDPF","0"
"MW4FILE","DPPFFD","922"
"MW4FILE","DPPOUT","0"
"MW4FILE","DPPREF","0"
"MW4FILE","DRDETAIL","0"
"MW4FILE","DRIVER","0"
"MW4FILE","DROPDIM","0"
"MW4FILE","DUNLETR","0"
"MW4FILE","DUTYRATE","10"
"MW4FILE","DWCUST","0"
"MW4FILE","DWITEMS","0"
"MW4FILE","DWORDERS","0"
"MW4FILE","ECERRMSG","0"
"MW4FILE","EDIBARCD","0"
"MW4FILE","EDICD1","40"
"MW4FILE","EDICD2","36"
"MW4FILE","EDICD2A","94"
"MW4FILE","EDICD3","395"
"MW4FILE","EDICD4","84"
"MW4FILE","EDICLS3","0"
"MW4FILE","EDICUST","0"
"MW4FILE","EDICXREF","0"
"MW4FILE","EDIFRTTRK","0"
"MW4FILE","EDIFTP","0"
"MW4FILE","EDIIN2DT","0"
"MW4FILE","EDIIN2HD","0"
"MW4FILE","EDIIN2HN","0"
"MW4FILE","EDIIN2SM","0"
"MW4FILE","EDIPCADN","0"
"MW4FILE","EDIPCAD1","0"
"MW4FILE","EDIPCAD2","0"
"MW4FILE","EDIPCAD3","0"
"MW4FILE","EDIPCAHN","0"
"MW4FILE","EDIPCAH1","0"
"MW4FILE","EDIPCAH2","0"
"MW4FILE","EDIPCAH3","0"
"MW4FILE","EDIPOADN","0"
"MW4FILE","EDIPOAD1","0"
"MW4FILE","EDIPOAD2","0"
"MW4FILE","EDIPOAD3","0"
"MW4FILE","EDIPOAHN","0"
"MW4FILE","EDIPOAH1","0"
"MW4FILE","EDIPOAH2","0"
"MW4FILE","EDIPOAH3","0"
"MW4FILE","EDITAB66","189"
"MW4FILE","EDIVEND","0"
"MW4FILE","EDIX61D1","0"
"MW4FILE","EDIX61H1","0"
"MW4FILE","EDI210DN","0"
"MW4FILE","EDI210DT","0"
"MW4FILE","EDI210HD","0"
"MW4FILE","EDI210HN","0"
"MW4FILE","EDI210SM","0"
"MW4FILE","EDI45FPR","0"
"MW4FILE","EDI810D1","0"
"MW4FILE","EDI810D2","0"
"MW4FILE","EDI810D3","0"
"MW4FILE","EDI810D4","0"
"MW4FILE","EDI810D5","0"
"MW4FILE","EDI810D6","0"
"MW4FILE","EDI810H1","0"
"MW4FILE","EDI810H2","0"
"MW4FILE","EDI810H3","0"
"MW4FILE","EDI810S1","0"
"MW4FILE","EDI810S2","0"
"MW4FILE","EDI824DT","0"
"MW4FILE","EDI824HD","0"
"MW4FILE","EDI830D1","0"
"MW4FILE","EDI830D2","0"
"MW4FILE","EDI830D3","0"
"MW4FILE","EDI830D4","0"
"MW4FILE","EDI830HD","0"
"MW4FILE","EDI850DN","0"
"MW4FILE","EDI850DT","0"
"MW4FILE","EDI850HD","0"
"MW4FILE","EDI850HN","0"
"MW4FILE","EDI855DN","0"
"MW4FILE","EDI855DT","0"
"MW4FILE","EDI855HD","0"
"MW4FILE","EDI855HN","0"
"MW4FILE","EDI860DN","0"
"MW4FILE","EDI860DT","0"
"MW4FILE","EDI860HD","0"
"MW4FILE","EDI860HN","0"
"MW4FILE","EDI861DT","0"
"MW4FILE","EDI861D1","0"
"MW4FILE","EDI861D2","0"
"MW4FILE","EDI861D3","0"
"MW4FILE","EDI861D4","0"
"MW4FILE","EDI861D5","0"
"MW4FILE","EDI861HD","0"
"MW4FILE","EDI861H1","0"
"MW4FILE","EDI861H2","0"
"MW4FILE","EDI861H3","0"
"MW4FILE","EDI864D1","0"
"MW4FILE","EDI864D2","0"
"MW4FILE","EDI864D3","0"
"MW4FILE","EDI864H1","0"
"MW4FILE","EDI864H2","0"
"MW4FILE","EDI864H3","0"
"MW4FILE","EDRSXREF","0"
"MW4FILE","EDSTLCD","0"
"MW4FILE","EFLATBEDC","0"
"MW4FILE","EFLATBEDD","0"
"MW4FILE","EFLATBEDL","0"
"MW4FILE","EGDPCIA","0"
"MW4FILE","EGDPCLC","0"
"MW4FILE","EGDPCOR","0"
"MW4FILE","EGLTERMS","0"
"MW4FILE","EMADDTL","177"
"MW4FILE","EMAILLOG","7028"
"MW4FILE","EMAILTXT","0"
"MW4FILE","EMAILTYPE","21"
"MW4FILE","EMFORM","48"
"MW4FILE","EMFORM_B4","12"
"MW4FILE","EMINFO","0"
"MW4FILE","EMLSTDAY","130"
"MW4FILE","EMPDTPARM","0"
"MW4FILE","EMPLOYE","99"
"MW4FILE","EMPPARMS","99"
"MW4FILE","EMPQUOTE","99"
"MW4FILE","EMPVALID","21"
"MW4FILE","EMPVAXR","0"
"MW4FILE","EMPVUOM","0"
"MW4FILE","ENDUSE","139"
"MW4FILE","EODDFLTS","1"
"MW4FILE","EODLIBS","0"
"MW4FILE","EPCONSPF","0"
"MW4FILE","EPTEMPPF","0"
"MW4FILE","EP010WRK","0"
"MW4FILE","ESHAPUOM","0"
"MW4FILE","ESHPTOL","0"
"MW4FILE","EXCGLCTL","1"
"MW4FILE","EXCHANGE","2331"
"MW4FILE","EXHTRANS","44282"
"MW4FILE","EXPCERT","0"
"MW4FILE","EXPORT","0"
"MW4FILE","EXTRCUST","0"
"MW4FILE","EXTRDIES","0"
"MW4FILE","EXTRDNTE","0"
"MW4FILE","EXTRIMAG","0"
"MW4FILE","EXTRMETE","0"
"MW4FILE","EXTRMILL","0"
"MW4FILE","EXTRPAGE","0"
"MW4FILE","EXTRPAGR","0"
"MW4FILE","EXTRPART","0"
"MW4FILE","EXTRPNTE","0"
"MW4FILE","EXTRQEXT","0"
"MW4FILE","EXTRSHAP","0"
"MW4FILE","EXTRTNBR","0"
"MW4FILE","FABCMNT","0"
"MW4FILE","FABVIRTAG","0"
"MW4FILE","FADETAL","0"
"MW4FILE","FASTPATH","5432"
"MW4FILE","FASTPKEY","10"
"MW4FILE","FAXFILE","0"
"MW4FILE","FAXTWREQ","0"
"MW4FILE","FCASTCLD","0"
"MW4FILE","FCASTCPF","0"
"MW4FILE","FCASTCP1","0"
"MW4FILE","FCASTCP2","0"
"MW4FILE","FCASTCP3","0"
"MW4FILE","FCASTCP4","0"
"MW4FILE","FCAUTITM","0"
"MW4FILE","FCDETAIL","0"
"MW4FILE","FCPARTX","3"
"MW4FILE","FCSCDETL","0"
"MW4FILE","FCXREF","571"
"MW4FILE","FEDSLTAX","1"
"MW4FILE","FEDSTPR","0"
"MW4FILE","FFADD","0"
"MW4FILE","FFCOM","0"
"MW4FILE","FFINDATA","0"
"MW4FILE","FFPHY","0"
"MW4FILE","FFPTD","0"
"MW4FILE","FFPTH","0"
"MW4FILE","FFROD","0"
"MW4FILE","FFROH","0"
"MW4FILE","FFSKU","0"
"MW4FILE","FFSTD","0"
"MW4FILE","FFSTH","0"
"MW4FILE","FFVEN","0"
"MW4FILE","FINRTST","0"
"MW4FILE","FISCALYR","0"
"MW4FILE","FLASHINV","2993"
"MW4FILE","FLASHRPT","40392"
"MW4FILE","FORECAST","0"
"MW4FILE","FRACDEC","120"
"MW4FILE","FRACTION","0"
"MW4FILE","FRECONCL","2"
"MW4FILE","FRTCLASS","0"
"MW4FILE","FRTHST","2"
"MW4FILE","FRTMILE","0"
"MW4FILE","FRTORDWGT","0"
"MW4FILE","FRTRATE","0"
"MW4FILE","FRTVCHAR","0"
"MW4FILE","FRTVDISC","0"
"MW4FILE","FRTVDRNK","0"
"MW4FILE","FRTVEND","0"
"MW4FILE","FRTVRULE","0"
"MW4FILE","FRTZIP","0"
"MW4FILE","FRTZONE","0"
"MW4FILE","FRTZTAB","0"
"MW4FILE","GBCREDEN","0"
"MW4FILE","GCMAST","1"
"MW4FILE","GCMPINF","0"
"MW4FILE","GENCPA","42"
"MW4FILE","GLACCT","258"
"MW4FILE","GLADCHRG","1"
"MW4FILE","GLBRKTOT","0"
"MW4FILE","GLCLASS","0"
"MW4FILE","GLCONTRL","1"
"MW4FILE","GLCOSTC","1"
"MW4FILE","GLDEBCRED","1658"
"MW4FILE","GLDWORK","0"
"MW4FILE","GLINTF","0"
"MW4FILE","GLJRBA","1406"
"MW4FILE","GLJRDT","17036"
"MW4FILE","GLJRHD","2474"
"MW4FILE","GLMAJHD","28"
"MW4FILE","GLMAST","258"
"MW4FILE","GLMASTHST","1508"
"MW4FILE","GLMOVE","0"
"MW4FILE","GLMWORK","0"
"MW4FILE","GLMWORKP","0"
"MW4FILE","GLPCCHRG","0"
"MW4FILE","GLPRDCLS","1"
"MW4FILE","GLQRYF","0"
"MW4FILE","GLRAT","0"
"MW4FILE","GLRCDT","0"
"MW4FILE","GLRCHD","0"
"MW4FILE","GLRPTF","109"
"MW4FILE","GLRSTD","1"
"MW4FILE","GLRSTH","1"
"MW4FILE","GLSWORK","0"
"MW4FILE","GLTRANS","2937500"
"MW4FILE","GLTRANS1","0"
"MW4FILE","GL815CSV","0"
"MW4FILE","GL815DCSV","0"
"MW4FILE","GL820CSV","0"
"MW4FILE","GL820DCSV","0"
"MW4FILE","GL822CSV","0"
"MW4FILE","GL825CSV","0"
"MW4FILE","GL840CSV","0"
"MW4FILE","GL841CSV","0"
"MW4FILE","GL842CSV","0"
"MW4FILE","GL844CSV","0"
"MW4FILE","GL850CSV","0"
"MW4FILE","GL851CSV","0"
"MW4FILE","GL854CSV","0"
"MW4FILE","GL858CSV","0"
"MW4FILE","GL860CSV","0"
"MW4FILE","GL861CSV","0"
"MW4FILE","GL871DCSV","0"
"MW4FILE","GL871SCSV","0"
"MW4FILE","GL873DCSV","0"
"MW4FILE","GL873SCSV","0"
"MW4FILE","GL875CSV","0"
"MW4FILE","GPAPPROV","0"
"MW4FILE","GPREASON","0"
"MW4FILE","GRADSPEC","0"
"MW4FILE","GXINDATA","0"
"MW4FILE","HEXATTR","0"
"MW4FILE","HOTORDCD","0"
"MW4FILE","H12823BH","0"
"MW4FILE","H12823BK","0"
"MW4FILE","H12823CK","0"
"MW4FILE","H12823LK","0"
"MW4FILE","H12823PY","0"
"MW4FILE","IAREASON","0"
"MW4FILE","IASEQNO","0"
"MW4FILE","IATRANHS","491894"
"MW4FILE","IATRANS","26"
"MW4FILE","IBLINK","0"
"MW4FILE","IC011SLSP","352"
"MW4FILE","IFRTTBL","0"
"MW4FILE","IHANDTB","0"
"MW4FILE","IMAGEPDF","107968"
"MW4FILE","IMAGEPDFB4","494"
"MW4FILE","IMAGPRT","0"
"MW4FILE","IMGINDX","13"
"MW4FILE","IMGPFDS","42"
"MW4FILE","IMGUSER","0"
"MW4FILE","IMG1FIT","0"
"MW4FILE","IMG1FRT","0"
"MW4FILE","IMG1MTR","0"
"MW4FILE","IMG1PO","0"
"MW4FILE","IMG2FRT","0"
"MW4FILE","IMG2MTR","0"
"MW4FILE","IMG3FRT","0"
"MW4FILE","IMG3MTR","0"
"MW4FILE","IMG4FRT","0"
"MW4FILE","IMG4MTR","0"
"MW4FILE","IMPORT","0"
"MW4FILE","IM802CSV","0"
"MW4FILE","IM812CSV","0"
"MW4FILE","IM816WF","0"
"MW4FILE","IM929FIL","0"
"MW4FILE","INFDSDBF","0"
"MW4FILE","INFDSDSP","0"
"MW4FILE","INFDSPRT","0"
"MW4FILE","INFOCODE","0"
"MW4FILE","INSPCMT","0"
"MW4FILE","INSPDTL","0"
"MW4FILE","INTDIST","0"
"MW4FILE","INVMILL","74"
"MW4FILE","INVMSG","0"
"MW4FILE","IN460WK","0"
"MW4FILE","IN807PF","0"
"MW4FILE","IN821CSV","0"
"MW4FILE","IN822CSV","0"
"MW4FILE","IN824CSV","0"
"MW4FILE","IN825ACSV","0"
"MW4FILE","IN825BCSV","0"
"MW4FILE","IN825CCSV","0"
"MW4FILE","IN825DCSV","0"
"MW4FILE","IN826BCSV","0"
"MW4FILE","IN826CSV","0"
"MW4FILE","IN915CSV","0"
"MW4FILE","IQTRANS","0"
"MW4FILE","IQTRNHST","0"
"MW4FILE","IRECONCL","25"
"MW4FILE","IRECONWF","0"
"MW4FILE","ITAGEBKT","0"
"MW4FILE","ITEMBASE","0"
"MW4FILE","ITEMBG","1781"
"MW4FILE","ITEMBK","0"
"MW4FILE","ITEMCLSD","144"
"MW4FILE","ITEMCLS1","16"
"MW4FILE","ITEMCLS2","69"
"MW4FILE","ITEMCLS3","171"
"MW4FILE","ITEMCNTR","0"
"MW4FILE","ITEMCONS","0"
"MW4FILE","ITEMESHP","1"
"MW4FILE","ITEMEXP","2"
"MW4FILE","ITEMFORM","0"
"MW4FILE","ITEMGAUGE","0"
"MW4FILE","ITEMGRAD","0"
"MW4FILE","ITEMGRMEA","0"
"MW4FILE","ITEMHCMT","106322"
"MW4FILE","ITEMHIST","720601"
"MW4FILE","ITEMHPUR","0"
"MW4FILE","ITEMHSBK","0"
"MW4FILE","ITEMLANG","0"
"MW4FILE","ITEMLIST","44827"
"MW4FILE","ITEMMAST","2608"
"MW4FILE","ITEMMASTXX","30170"
"MW4FILE","ITEMMPLV","5"
"MW4FILE","ITEMNCG","0"
"MW4FILE","ITEMOHCM","0"
"MW4FILE","ITEMOHWK","0"
"MW4FILE","ITEMONBK","0"
"MW4FILE","ITEMONCM","1078"
"MW4FILE","ITEMONHD","2607"
"MW4FILE","ITEMONHDXX","10234"
"MW4FILE","ITEMONPF","0"
"MW4FILE","ITEMONSU","28"
"MW4FILE","ITEMQRYC","0"
"MW4FILE","ITEMRMT","59062"
"MW4FILE","ITEMS","134053"
"MW4FILE","ITEMSMT","179630"
"MW4FILE","ITEMSMTBK","0"
"MW4FILE","ITEMSMTP","0"
"MW4FILE","ITEMSR","0"
"MW4FILE","ITEMSYT","19369"
"MW4FILE","ITEMTADS","0"
"MW4FILE","ITEMTAD2","0"
"MW4FILE","ITEMTAG","288492"
"MW4FILE","ITEMTAGB4","238501"
"MW4FILE","ITEMTAGLAH","238502"
"MW4FILE","ITEMTAPR","0"
"MW4FILE","ITEMTNCG","0"
"MW4FILE","ITEMTOL","1"
"MW4FILE","ITEMTPHS","7087"
"MW4FILE","ITEMTRIF","263"
"MW4FILE","ITEMTUD","196121"
"MW4FILE","ITEMVEND","0"
"MW4FILE","ITEMXREF","0"
"MW4FILE","ITEMXST","0"
"MW4FILE","ITEMXSTWF","0"
"MW4FILE","ITMQXRF","0"
"MW4FILE","ITPRCHRG","0"
"MW4FILE","I856IBR","0"
"MW4FILE","I856ITR","0"
"MW4FILE","JNAP801","0"
"MW4FILE","JNAP801D","0"
"MW4FILE","JNAP802","0"
"MW4FILE","JNAP803","0"
"MW4FILE","JNAP804","0"
"MW4FILE","JNAP810","0"
"MW4FILE","JNAP843","0"
"MW4FILE","JNAP851","0"
"MW4FILE","JNAP915","0"
"MW4FILE","JNAP917","0"
"MW4FILE","JNAR930","0"
"MW4FILE","JNAR931","0"
"MW4FILE","JNCSTAD","0"
"MW4FILE","JNDW202","0"
"MW4FILE","JNED800","0"
"MW4FILE","JNEM206","0"
"MW4FILE","JNEM206B","0"
"MW4FILE","JNIM825","0"
"MW4FILE","JNIN801","0"
"MW4FILE","JNIN803","0"
"MW4FILE","JNIN808","0"
"MW4FILE","JNIN817","0"
"MW4FILE","JNIN845","0"
"MW4FILE","JNIN846","0"
"MW4FILE","JNIN873","0"
"MW4FILE","JNLF805","0"
"MW4FILE","JNLF807","0"
"MW4FILE","JNMPHDROVD","0"
"MW4FILE","JNMPHDROVO","0"
"MW4FILE","JNMP860","0"
"MW4FILE","JNMP870","0"
"MW4FILE","JNMP872","0"
"MW4FILE","JNMP875","0"
"MW4FILE","JNMP891","0"
"MW4FILE","JNOE801","0"
"MW4FILE","JNOE856","0"
"MW4FILE","JNOE891","0"
"MW4FILE","JNPM912","0"
"MW4FILE","JNPO805","0"
"MW4FILE","JNPO827","0"
"MW4FILE","JNPO880","0"
"MW4FILE","JNSA720","0"
"MW4FILE","JNSA721","0"
"MW4FILE","JNSA722","0"
"MW4FILE","JNSA723","0"
"MW4FILE","JNSA725","0"
"MW4FILE","JNSA727","0"
"MW4FILE","JNSA801","0"
"MW4FILE","JNSA810","0"
"MW4FILE","JNSA811","0"
