BDPONO_PurchaseOrderNumber,BDVNDR_VendorCode,VNAME_VendorName,BDRECD_RecordFlag,BDITEM_ItemNumber,BDCRTD_CreationDate,BDRPDATE_RequiredDate,BDOQOO_QuantityOrdered,BDIUOM_UnitOfMeasure,BDCQOO_ConfirmedQuantity,BDOOQ_OtherOrderedQuantity,BDTIQR_TimeInQueue,BDPOCDATE_PurchaseOrderDate,BDRCCDATE_ReceiptConfirmationDate
513549,130,"METALLUS                           ",C,51887,"9.500 6.250 1.625 HF 4140 P110 QT  ",20230421,139.332,"FT ",0.000,20000.000,131.582,20220113,20230425
515219,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51888,"12.000 8.000 2.000 HF 4130M 125KSI ",20230515,380.000,"FT ",0.000,80000.000,395.583,20220803,20230512
516284,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51889,10.000 6.000 2.000 HF 4130M7 125K++,20231015,231.000,"FT ",0.000,40000.000,0.000,20230504,0
515631,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51889,10.000 6.000 2.000 HF 4130M7 125K++,20230531,301.250,"FT ",0.000,51000.000,297.167,20221111,20230612
512737,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51889,10.000 6.000 2.000 HF 4130M7 125K++,20220520,240.000,"FT ",0.000,40000.000,228.083,20211004,20220712
513503,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51890,"7.500 BAR HF 4130M7  AR++          ",20220801,261.083,"FT ",0.000,40000.000,231.250,20220107,20220815
512763,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51890,"7.500 BAR HF 4130M7  AR++          ",20220801,261.083,"FT ",0.000,40000.000,276.499,20211008,20220916
514284,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51891,"14.375 12.375 1.000 HF API K55     ",20221031,1260.000,"FT ",0.000,180000.000,1250.999,20220406,20230120
513654,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51891,"14.375 12.375 1.000 HF API K55     ",20220930,1263.332,"FT ",0.000,180000.000,1234.580,20220128,20221016
513218,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51891,"14.375 12.375 1.000 HF API K55     ",20220930,282.333,"FT ",0.000,40000.000,309.084,20211202,20220822
513143,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51891,"14.375 12.375 1.000 HF API K55     ",20220613,1120.000,"FT ",0.000,160000.000,1149.415,20211117,20220609
514936,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51892,7.500 4.250 1.625 HF 4130M 125 KSI+,20230331,400.000,"FT ",0.000,40000.000,446.917,20220608,20230413
514317,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51892,7.500 4.250 1.625 HF 4130M 125KSI++,20221130,400.000,"FT ",0.000,40000.000,433.500,20220408,20230109
514197,571,"TREK METALS INC                    ",C,51898,"10.000 BAR HF 4140  ANN++          ",20220729,20.083,"FT ",0.000,5000.000,19.667,20220329,20220729
516110,571,"TREK METALS INC                    ",C,51899,"12.000 BAR HF 4130 80 KSI NQT++    ",20230529,100.417,"FT ",0.000,40000.000,100.334,20230321,20230424
513906,571,"TREK METALS INC                    ",C,51899,"12.000 BAR HF 4130 80 KSI NQT++    ",20220630,60.250,"FT ",0.000,20000.000,58.166,20220303,20220615
515403,571,"TREK METALS INC                    ",C,51900,"14.500 BAR HF 4130 80 KSI NQT++    ",20220914,76.000,"FT ",0.000,40000.000,78.167,20220913,20220916
515510,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51904,"12.500 9.500 1.500 4130M 110-125++ ",20230531,900.000,"FT ",0.000,160000.000,938.835,20221006,20230614
515333,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51904,"12.500 9.500 1.500 4130M 110-125++ ",20230531,220.000,"FT ",0.000,40000.000,248.000,20220826,20230614
514023,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51904,"12.500 9.500 1.500 4130M 110-125++ ",20221031,460.000,"FT ",0.000,80000.000,484.834,20220311,20230111
516344,247,"MAGELLAN CORPORATION               ",C,51905,"12.500 BAR HF 4340  Annealed       ",20230731,40.167,"FT ",0.000,20000.000,49.083,20230525,20230721
516115,130,"METALLUS                           ",C,51905,"12.500 BAR HF 4340  Annealed       ",20230930,40.167,"FT ",0.000,20000.000,50.333,20230321,20231002
514596,247,"MAGELLAN CORPORATION               ",C,51905,"12.500 BAR HF 4340  Annealed       ",20220831,40.167,"FT ",0.000,20000.000,52.166,20220505,20220705
514526,571,"TREK METALS INC                    ",C,51907,"11.500 BAR HF 4130 75 KSI NQT++    ",20221230,160.667,"FT ",0.000,55000.000,154.500,20220427,20221201
515293,474,"ARTROM STEEL TUBES SA              ",C,51917,"6.300 4.500 .900 HF 4140 125KSI QT ",20221209,1546.417,"FT ",0.000,80000.000,1671.251,20220817,20230207
512990,177,"TENARIS GLOBAL SERVICES            ",C,51917,6.300 4.500 .900 HF 4140 125 KSI QT,20220712,780.000,"FT ",0.000,40000.000,882.749,20211105,20220809
515899,763,"SeAH GLOBAL INC                    ",C,51920,"9.500 BAR HF 4330V 150 KSI NQT     ",20231218,91.167,"FT ",0.000,20000.000,58.834,20230124,20231116
518800,247,"MAGELLAN CORPORATION               ",C,51924,"11.500 BAR HF 1018  AR             ",20250324,18.000,"FT ",0.000,6500.000,17.583,20250314,20250324
518560,571,"TREK METALS INC                    ",C,51929,"24.000 BAR HF 4130 75 KSI NQT++    ",20250122,20.083,"FT ",0.000,30000.000,19.500,20250120,20250122
514743,571,"TREK METALS INC                    ",C,51929,"24.000 BAR HF 4130 75 KSI NQT++    ",20221017,54.000,"FT ",0.000,80000.000,0.000,20220518,0
513683,571,"TREK METALS INC                    ",C,51929,"24.000 BAR HF 4130 80 KSI NQT++    ",20220530,18.000,"FT ",0.000,27000.000,19.333,20220202,20220615
513759,130,"METALLUS                           ",C,51930,"8.250 BAR HF 4140 125 KSI NQT      ",20231016,454.252,"FT ",0.000,80000.000,411.335,20220210,20231114
513664,130,"METALLUS                           ",C,51930,"8.250 BAR HF 4140 125 KSI NQT      ",20230227,321.333,"FT ",0.000,60000.000,329.917,20220128,20230228
515056,763,"SeAH GLOBAL INC                    ",C,51947,"2.500 BAR HF 4330V 150 KSI QT      ",20230619,1205.000,"FT ",0.000,20000.000,1119.333,20220630,20230612
514840,763,"SeAH GLOBAL INC                    ",C,51947,"2.500 BAR HF 4330V 150 KSI QT      ",20230619,1205.000,"FT ",0.000,20000.000,1264.501,20220527,20230612
514368,530,"STEEL DYNAMICS                     ",C,51947,"2.500 BAR HF 4330V 150 KSI QT      ",20230301,1205.000,"FT ",0.000,20000.000,1175.083,20220413,20230227
513401,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51949,"8.500 BAR HF 4130M7  ANN++         ",20220801,522.167,"FT ",0.000,100000.000,563.918,20211222,20220916
515696,130,"METALLUS                           ",C,51951,"15.000 BAR HF 4130M7  NORM         ",20231009,60.250,"FT ",0.000,40000.000,79.417,20230201,20231010
515590,130,"METALLUS                           ",C,51951,"15.000 BAR HF 4130M7  NORM         ",20230530,60.250,"FT ",0.000,40000.000,78.417,20230109,20230628
513473,395,"ELLWOOD INVESTMENT COMPANY         ",C,51951,"15.000 BAR HF 4130M7  NORM         ",20220630,80.333,"FT ",0.000,48000.000,90.917,20220105,20220801
515054,571,"TREK METALS INC                    ",C,51966,"14.500 BAR HF 4140  ANN++          ",20221031,40.167,"FT ",0.000,20000.000,0.000,20220630,0
