IMFSP2_ItemFamilyGroup,IMITEM_ItemNumber,IMSIZ1_SizeSpec1,IMSIZ2_SizeSpec2,IMSIZ3_SizeSpec3,IMDSC2_Description2,IMWPFT_WeightPerFoot,IOACST_AverageCost,IOQOH_QuantityOnHand,IOQOO_QuantityOnOrder,IOQ_TOTAL_TotalQuantityOnOrder,IMDSC1_Description1,IMWUOM_WeightUnitOfMeasure,IMCSMO_CostingModel
"AB16.000-00.000 HF 4330V  AF                                          ",51978,16.0000,0.0000,0.0000,"HF 4330V  AF                  ",683.530,1043.6838,36.499,0.000,4.500,"16.000 ROUND BAR              ",PLI,"STB28                              "
"AB16.000-00.000 HF 4340  ANN                                          ",51305,16.0000,0.0000,0.0000,"HF  4340  ANN                 ",683.530,918.7019,0.000,18.000,0.000,"16.000 ROUND BAR              ",PLI,"STB16                              "
"AB16.000-00.000 HF 4340 125 KSI QT                                    ",52302,16.0000,0.0000,0.0000,"HF 4340 125 KSI QT            ",683.530,1239.3189,5.167,0.000,0.000,"16.000 ROUND BAR              ",PLI,"STB23                              "
"AB16.000-00.000 HF 4340 125 KSI QT++                                  ",52214,16.0000,0.0000,0.0000,"HF 4340 125 KSI QT++          ",683.530,1050.7201,2.833,0.000,0.000,"16.000 ROUND BAR              ",PLI,"STB23                              "
"AB16.000-00.000 HF 8620  AR                                           ",51411,16.0000,0.0000,0.0000,"HF 8620  AR                   ",683.530,612.4695,0.000,0.000,0.000,"16.000 ROUND BAR              ",PLI,"STB15                              "
"AB16.000-00.000 HF 8630 80 KSI QT                                     ",51087,16.0000,0.0000,0.0000,"HF  8630 80 KSI QT            ",683.530,0.0000,2.084,0.000,0.000,"16.000 ROUND BAR              ",PLI,"DEFAULT                            "
"AB16.000-00.000 HF 8630 NORM                                          ",50191,16.0000,0.0000,0.0000,"HF 8630 NORM                  ",683.530,986.4097,56.583,0.000,0.000,"16.000 ROUND BAR              ",PLI,"STB21                              "
"AB16.125-00.000 HF 4130 80KSI NQT                                     ",50698,16.1250,0.0000,0.0000,"HF 4130 80KSI NQT             ",694.252,555.3996,0.000,0.000,0.000,"16.125 ROUND BAR              ",PLI,"STB18                              "
"AB16.125-00.000 HF 4130 AR                                            ",50310,16.1250,0.0000,0.0000,"HF 4130 NORM                  ",694.252,690.1588,0.000,0.000,0.000,"16.125 ROUND BAR              ",PLI,"STB17                              "
"AB16.500-00.000 HF 4130 80KSI NQT                                     ",52568,16.5000,0.0000,0.0000,"HF 4130 80KSI NQT             ",726.918,661.5045,0.000,0.000,0.000,"16.500 ROUND BAR              ",PLI,"STB18                              "
"AB16.500-00.000 HF 4130M7 NORM                                        ",50901,16.5000,0.0000,0.0000,"HF 4130M7 NORM                ",726.918,942.1849,0.000,0.000,0.000,"16.500 ROUND BAR              ",PLI,"STB14                              "
"AB16.500-00.000 HF 4140  AR++                                         ",52746,16.5000,0.0000,0.0000,"HF 4140  AR++                 ",726.918,734.2499,39.500,0.000,21.833,"16.500 ROUND BAR              ",PLI,"STB19                              "
"AB17.000-00.000 HF 4130 75KSI NQT                                     ",50193,17.0000,0.0000,0.0000,"HF 4130 75KSI NQT             ",771.641,1297.0401,43.167,0.000,0.000,"17.000 ROUND BAR              ",PLI,"STB18                              "
"AB17.000-00.000 HF 4130 75KSI NQT++                                   ",50881,17.0000,0.0000,0.0000,"HF 4130 75KSI NQT++           ",771.641,1086.4720,0.000,0.000,0.000,"17.000 ROUND BAR              ",PLI,"STB18                              "
"AB17.000-00.000 HF 4130 80KSI NQT                                     ",50742,17.0000,0.0000,0.0000,"HF 4130 80KSI NQT             ",771.641,728.6773,0.750,0.000,0.000,"17.000 ROUND BAR              ",PLI,"STB18                              "
"AB17.000-00.000 HF 4130M7  NORM                                       ",51590,17.0000,0.0000,0.0000,"HF 4130M7  NORM               ",771.641,1715.9777,101.250,0.000,10.500,"17.000 ROUND BAR              ",PLI,"STB14                              "
"AB17.000-00.000 HF 4140  ANN                                          ",51409,17.0000,0.0000,0.0000,"HF 4140  ANN                  ",771.641,901.6799,0.000,0.000,0.000,"17.000 ROUND BAR              ",PLI,"STB19                              "
"AB17.000-00.000 HF 4140 110 KSI QT                                    ",52668,17.0000,0.0000,0.0000,"HF 4140 110 KSI QT            ",771.641,953.9722,25.667,0.000,0.000,"17.000 ROUND BAR              ",PLI,"STB20                              "
"AB17.000-00.000 HF 4340  ANN                                          ",51507,17.0000,0.0000,0.0000,"HF 4340  ANN                  ",771.641,1054.0960,0.667,0.000,0.000,"17.000 ROUND BAR              ",PLI,"STB16                              "
"AB17.000-00.000 HF 4340  ANN++                                        ",51676,17.0000,0.0000,0.0000,"HF 4340  ANN++                ",771.641,1039.3837,1.750,0.000,0.000,"17.000 ROUND BAR              ",PLI,"DEFAULT                            "
"AB17.000-00.000 HF 4340  NQT                                          ",51796,17.0000,0.0000,0.0000,"HF 4340  NQT                  ",771.641,1170.8535,11.334,0.000,0.000,"17.000 ROUND BAR              ",PLI,"DEFAULT                            "
"AB17.000-00.000 HF 8620                                               ",52506,17.0000,0.0000,0.0000,"HF 8620                       ",771.641,996.6393,1.250,0.000,0.000,"17.000 ROUND BAR              ",PLI,"STB15                              "
"AB17.000-00.000 HF 8630M NORM                                         ",51329,17.0000,0.0000,0.0000,"HF 8630M NORM                 ",771.641,1049.5988,21.749,157.000,0.000,"17.000 ROUND BAR              ",PLI,"STB21                              "
"AB18.000-00.000 HF 4130 75 KSI NQT                                    ",52240,18.0000,0.0000,0.0000,"HF 4130 75 KSI NQT            ",865.093,1458.3520,33.500,0.000,0.000,"18.000 ROUND BAR              ",PLI,"STB18                              "
"AB18.000-00.000 HF 4130 75 KSI NQT++                                  ",51399,18.0000,0.0000,0.0000,"HF 4130 75 KSI NQT++          ",865.093,1118.3547,4.000,0.000,0.000,"18.000 ROUND BAR              ",PLI,"STB18                              "
"AB18.000-00.000 HF 4130 80KSI NQT                                     ",50366,18.0000,0.0000,0.0000,"HF 4130 80KSI NQT             ",865.093,750.8581,0.000,0.000,0.000,"18.000 ROUND BAR              ",PLI,"STB18                              "
"AB18.000-00.000 HF 4130M7  NORM                                       ",51591,18.0000,0.0000,0.0000,"HF 4130M7  NORM               ",865.093,1904.0257,30.751,0.000,0.000,"18.000 ROUND BAR              ",PLI,"STB14                              "
"AB18.000-00.000 HF 4140  ANN                                          ",51423,18.0000,0.0000,0.0000,"HF 4140  ANN                  ",865.093,941.4567,4.833,0.000,0.000,"18.000 ROUND BAR              ",PLI,"DEFAULT                            "
"AB18.000-00.000 HF 4140  ANN++                                        ",51621,18.0000,0.0000,0.0000,"HF 4140  ANN                  ",865.093,756.4158,0.000,0.000,0.000,"18.000 ROUND BAR              ",PLI,"DEFAULT                            "
"AB18.000-00.000 HF 4140 110 KSI QT++                                  ",52701,18.0000,0.0000,0.0000,"HF 4140 110 KSI QT++          ",865.093,891.5360,10.833,0.000,0.000,"18.000 ROUND BAR              ",PLI,"STB20                              "
"AB18.000-00.000 HF 4330V RT                                           ",51007,18.0000,0.0000,0.0000,"HF 4330V RT..                 ",865.093,1423.5492,97.498,0.000,6.584,"18.000 ROUND BAR              ",PLI,"STB28                              "
"AB18.000-00.000 HF 4340 ANN                                           ",50195,18.0000,0.0000,0.0000,"HF 4340 ANN                   ",865.093,1222.1419,14.917,0.000,0.000,"18.000 ROUND BAR              ",PLI,"STB16                              "
"AB18.000-00.000 HF 8630M NORM                                         ",50196,18.0000,0.0000,0.0000,"HF 8630M NORM                 ",865.093,1404.8816,11.750,31.000,0.000,"18.000 ROUND BAR              ",PLI,"STB21                              "
"AB18.250-00.000 HF F22 80 KSI NQT                                     ",52366,18.2500,0.0000,0.0000,"HF F22 80 KSI NQT             ",889.290,0.0000,0.833,0.000,0.000,"18.250 ROUND BAR              ",PLI,"DEFAULT                            "
"AB19.000-00.000 HF 4130 75 KSI NQT                                    ",52105,19.0000,0.0000,0.0000,"HF 4130 75 KSI NQT            ",963.884,720.9729,85.500,0.000,8.000,"19.000 ROUND BAR              ",PLI,"STB18                              "
"AB19.000-00.000 HF 4130 75KSI NQT++                                   ",50743,19.0000,0.0000,0.0000,"HF 4130 75KSI NQT++           ",963.884,987.7437,1.250,0.000,0.000,"19.000 ROUND BAR              ",PLI,"STB18                              "
"AB19.000-00.000 HF 4130 80 KSI NQT++                                  ",51379,19.0000,0.0000,0.0000,"HF 4130 80 KSI NQT++          ",963.884,672.4694,0.000,0.000,0.000,"19.000 ROUND BAR              ",PLI,"STB18                              "
"AB19.000-00.000 HF 4130 80KSI NQT                                     ",50697,19.0000,0.0000,0.0000,"HF 4130 80KSI NQT             ",963.884,1189.4084,5.250,0.000,0.000,"19.000 ROUND BAR              ",PLI,"STB18                              "
"AB19.000-00.000 HF 4130 NORM                                          ",50197,19.0000,0.0000,0.0000,"HF 4130 NORM                  ",963.884,960.1200,1.417,0.000,0.000,"19.000 ROUND BAR              ",PLI,"STB17                              "
"AB19.000-00.000 HF 4130 NORM M7                                       ",50684,19.0000,0.0000,0.0000,"HF 4130 M7 NORM               ",963.884,2068.0152,39.417,40.000,0.000,"19.000 ROUND BAR              ",PLI,"STB14                              "
"AB19.000-00.000 HF 4140                                               ",52213,19.0000,0.0000,0.0000,"HF 4140                       ",963.884,1364.6191,0.000,0.000,0.000,"19.000 ROUND BAR              ",PLI,"STB19                              "
"AB19.000-00.000 HF 4140 110 KSI NQT                                   ",51626,19.0000,0.0000,0.0000,"HF 4140 110 KSI NQT           ",963.884,910.6000,0.000,0.000,0.000,"19.000 ROUND BAR              ",PLI,"STB20                              "
"AB19.000-00.000 HF 4140 ANN++                                         ",51520,19.0000,0.0000,0.0000,"HF 4140 ANN++                 ",963.884,1141.2082,15.333,0.000,0.000,"19.000 ROUND BAR              ",PLI,"STB19                              "
"AB19.000-00.000 HF 4340  ANN++                                        ",51501,19.0000,0.0000,0.0000,"HF 4340  ANN++                ",963.884,1371.1045,1.666,0.000,0.000,"19.000 ROUND BAR              ",PLI,"STB16                              "
"AB19.000-00.000 HF 4340 ANN                                           ",50198,19.0000,0.0000,0.0000,"HF 4340 ANN                   ",963.884,1275.0295,22.250,0.000,0.000,"19.000 ROUND BAR              ",PLI,"STB16                              "
"AB19.000-00.000 HF 8630  NORM                                         ",51219,19.0000,0.0000,0.0000,"HF  8630  NORM                ",963.884,1234.8353,0.000,0.000,0.000,"19.000 ROUND BAR              ",PLI,"DEFAULT                            "
"AB19.250-00.000 HF 8630 NORM                                          ",50285,19.2500,0.0000,0.0000,"HF 8630 NORM                  ",989.417,1189.0422,37.998,0.000,0.000,"19.250 ROUND BAR              ",PLI,"STB21                              "
"AB19.250-00.000 HF F22 80 KSI NQT                                     ",51601,19.2500,0.0000,0.0000,"HF F22 80 KSI NQT..           ",989.417,1633.4871,12.001,0.000,0.000,"19.250 ROUND BAR              ",PLI,"DEFAULT                            "
"AB19.500-00.000 HF 8630 85 KSI NQT                                    ",51086,19.5000,0.0000,0.0000,"HF  8630 85 KSI NQT           ",1015.283,938.0732,0.000,0.000,0.000,"19.500 ROUND BAR              ",PLI,"DEFAULT                            "
"AB19.500-00.000 HF F22 80 KSI NQT                                     ",52551,19.5000,0.0000,0.0000,"HF F22 KSI NQT                ",1015.283,1635.1395,33.583,15.833,0.000,"19.500 ROUND BAR              ",PLI,"DEFAULT                            "
"AB20.000-00.000 HF 4130  NORM++                                       ",51832,20.0000,0.0000,0.0000,"HF 4130  NORM++               ",1068.016,780.8008,13.083,0.000,0.000,"20.000 ROUND BAR              ",PLI,"STB17                              "
"AB20.000-00.000 HF 4130 75 KSI NQT                                    ",52473,20.0000,0.0000,0.0000,"HF 4130 75 KSI NQT            ",1068.016,1801.3203,19.916,0.000,0.000,"20.000 ROUND BAR              ",PLI,"STB18                              "
"AB20.000-00.000 HF 4130 75 KSI QT++                                   ",51395,20.0000,0.0000,0.0000,"HF 4130 75 KSI QT++           ",1068.016,1506.6325,0.000,0.000,0.000,"20.000 ROUND BAR              ",PLI,"STB18                              "
"AB20.000-00.000 HF 4130 80 KSI NQT++                                  ",51704,20.0000,0.0000,0.0000,"HF 4130 80 KSI NQT++          ",1068.016,1457.6854,0.000,0.000,0.000,"20.000 ROUND BAR              ",PLI,"STB18                              "
"AB20.000-00.000 HF 4130 80KSI NQT                                     ",50481,20.0000,0.0000,0.0000,"HF 4130 80KSI NQT             ",1068.016,1801.3237,0.333,0.000,0.000,"20.000 ROUND BAR              ",PLI,"STB18                              "
"AB20.000-00.000 HF 4130 NORM                                          ",50199,20.0000,0.0000,0.0000,"HF 4130 NORM                  ",1068.016,1232.4728,48.333,0.000,0.000,"20.000 ROUND BAR              ",PLI,"STB17                              "
"AB20.000-00.000 HF 4140 110 KSI NQT                                   ",51560,20.0000,0.0000,0.0000,"HF 4140 110 KSI NQT           ",1068.016,983.6465,0.000,0.000,0.000,"20.000 ROUND BAR              ",PLI,"DEFAULT                            "
"AB20.000-00.000 HF 4140 NORM                                          ",50838,20.0000,0.0000,0.0000,"HF 4140 ANN                   ",1068.016,1530.4366,1.000,0.000,0.000,"20.000 ROUND BAR              ",PLI,"STB19                              "
"AB20.000-00.000 HF 4340  AR                                           ",52450,20.0000,0.0000,0.0000,"HF 4340  AR                   ",1068.016,1824.6114,1.583,0.000,0.000,"20.000 ROUND BAR              ",PLI,"STB16                              "
"AB20.000-00.000 HF 4340 125 KSI NQT++                                 ",51378,20.0000,0.0000,0.0000,"HF 4340 125 KSI NQT++         ",1068.016,1275.6937,0.000,0.000,0.000,"20.000 ROUND BAR              ",PLI,"STB23                              "
"AB20.000-00.000 HF 8630M 80 KSI NQT                                   ",52371,20.0000,0.0000,0.0000,"HF 8630M 80 KSI NQT           ",1068.016,0.0000,0.000,0.000,0.000,"20.000 ROUND BAR              ",PLI,"DEFAULT                            "
"AB20.000-00.000 HF F22  NT                                            ",52338,20.0000,0.0000,0.0000,"HF F22  NT                    ",1068.016,0.0000,0.000,0.000,0.000,"20.000 ROUND BAR              ",PLI,"DEFAULT                            "
"AB20.250-00.000 HF 8630  NORM                                         ",51444,20.2500,0.0000,0.0000,"HF 8630  NORM                 ",1094.883,1400.3980,54.000,0.000,0.000,"20.250 ROUND BAR              ",PLI,"STB21                              "
"AB20.430-00.000 HF 8630  NORM                                         ",52706,20.4300,0.0000,0.0000,"HF 8630 NORM                  ",1114.434,1370.7543,0.000,0.000,0.000,"20.430 ROUND BAR              ",PLI,"DEFAULT                            "
"AB20.500-00.000 HF 4130 75 KSI NQT                                    ",51184,20.5000,0.0000,0.0000,"HF  4130 75 KSI NQT           ",1122.084,991.6679,0.000,0.000,0.000,"20.500 ROUND BAR              ",PLI,"STB18                              "
"AB21.000-00.000 HF 4130  AR++                                         ",52745,21.0000,0.0000,0.0000,"HF 4130  AR++                 ",1177.487,833.1787,15.000,0.000,0.000,"21.000 ROUND BAR              ",PLI,"STB17                              "
"AB21.000-00.000 HF 4130 75 KSI QT++                                   ",51390,21.0000,0.0000,0.0000,"HF 4130 75 KSI QT++           ",1177.487,1688.8263,1.500,0.000,0.000,"21.000 ROUND BAR              ",PLI,"DEFAULT                            "
"AB21.000-00.000 HF 4130 80 KSI NQT                                    ",51093,21.0000,0.0000,0.0000,"HF  4130 80 KSI NQT           ",1177.487,1385.7840,0.000,0.000,0.000,"21.000 ROUND BAR              ",PLI,"DEFAULT                            "
"AB21.000-00.000 HF 4140 110 KSI QT                                    ",51393,21.0000,0.0000,0.0000,"HF 4140 110 KSI QT            ",1177.487,1285.4800,0.000,0.000,0.000,"21.000 ROUND BAR              ",PLI,"STB20                              "
"AB21.375-00.000 HF 8630  NORM                                         ",51522,21.3750,0.0000,0.0000,"HF 8630  NORM                 ",1219.916,1467.3550,0.000,0.000,0.000,"21.375 ROUND BAR              ",PLI,"STB21                              "
"AB21.500-00.000 HF 4130 80 KSI NQT                                    ",50984,21.5000,0.0000,0.0000,"HF 4130 80 KSI NQT            ",1234.226,1188.3000,0.000,0.000,0.000,"21.500 ROUND BAR              ",PLI,"DEFAULT                            "
"AB21.740-00.000 HF 8630  NORM                                         ",51603,21.7400,0.0000,0.0000,"HF 8630  NORM                 ",1261.934,1091.3788,0.833,0.000,0.000,"21.740 ROUND BAR              ",PLI,"STB21                              "
"AB22.000-00.000 HF 4130 75 KSI NQT++                                  ",51440,22.0000,0.0000,0.0000,"HF 4130 75 KSI NQT++.         ",1292.299,1915.9651,25.750,0.000,0.000,"22.000 ROUND BAR              ",PLI,"STB18                              "
"AB22.000-00.000 HF 4130 75 KSI QT                                     ",51971,22.0000,0.0000,0.0000,"HF 4130 75 KSI QT.            ",1292.299,1856.8649,32.584,0.000,0.000,"22.000 ROUND BAR              ",PLI,"STB18                              "
"AB22.000-00.000 HF 4130 80KSI NQT                                     ",50696,22.0000,0.0000,0.0000,"HF 4130 80KSI NQT             ",1292.299,1299.0045,0.000,0.000,0.000,"22.000 ROUND BAR              ",PLI,"STB18                              "
"AB22.000-00.000 HF 4130 NORM                                          ",50200,22.0000,0.0000,0.0000,"HF 4130 NORM                  ",1292.299,1395.9031,0.000,0.000,0.000,"22.000 ROUND BAR              ",PLI,"STB17                              "
"AB22.000-00.000 HF 4140  ANN                                          ",51622,22.0000,0.0000,0.0000,"HF 4140  ANN                  ",1292.299,1286.6672,0.000,0.000,0.000,"22.000 ROUND BAR              ",PLI,"DEFAULT                            "
"AB22.000-00.000 HF 4140 110 KSI QT                                    ",52725,22.0000,0.0000,0.0000,"HF 4140 110 KSI QT            ",1292.299,1626.5268,10.250,0.000,0.000,"22.000 ROUND BAR              ",PLI,"DEFAULT                            "
"AB22.000-00.000 HF 4340  AR                                           ",52744,22.0000,0.0000,0.0000,"HF 4340  AR                   ",1292.299,1716.8469,18.417,0.000,6.917,"22.000 ROUND BAR              ",PLI,"STB16                              "
"AB22.000-00.000 HF 8630  NORM                                         ",51543,22.0000,0.0000,0.0000,"HF 8630  NORM                 ",1292.299,1160.8683,0.583,0.000,0.000,"22.000 ROUND BAR              ",PLI,"STB21                              "
"AB23.000-00.000 HF 4130  NORM++                                       ",52527,23.0000,0.0000,0.0000,"HF 4130  NORM++               ",1412.451,1052.3686,2.500,0.000,0.000,"23.000 ROUND BAR              ",PLI,"STB17                              "
"AB23.000-00.000 HF 4130 75 KSI NQT++                                  ",51407,23.0000,0.0000,0.0000,"HF 4130 75 KSI NQT++          ",1412.451,1576.5269,4.250,0.000,0.000,"23.000 ROUND BAR              ",PLI,"STB18                              "
"AB23.000-00.000 HF 4130 80 KSI NQT                                    ",51110,23.0000,0.0000,0.0000,"HF  4130 80 KSI NQT           ",1412.451,1603.0344,34.917,0.000,0.000,"23.000 ROUND BAR              ",PLI,"STB18                              "
"AB23.000-00.000 HF 4140 110 KSI NQT                                   ",51447,23.0000,0.0000,0.0000,"HF 4140 110 KSI NQT           ",1412.451,1385.8700,0.000,0.000,0.000,"23.000 ROUND BAR              ",PLI,"STB20                              "
"AB23.500-00.000 HF 4130 75 KSI NQT++                                  ",52564,23.5000,0.0000,0.0000,"HF 4130 75 KSI NQT++          ",1474.529,1591.6924,3.167,0.000,0.000,"23.500 ROUND BAR              ",PLI,"STB18                              "
"AB24.000-00.000 AF 4130 75 KSI NQT                                    ",51207,24.0000,0.0000,0.0000,"AF  4130 75 KSI NQT           ",1537.943,2242.0711,1.583,0.000,0.000,"24.000 ROUND BAR              ",PLI,"STB18                              "
"AB24.000-00.000 HF 4130 75 KSI NQT++                                  ",51929,24.0000,0.0000,0.0000,"HF 4130 75 KSI NQT++          ",1537.943,1696.6264,13.917,0.000,0.000,"24.000 ROUND BAR              ",PLI,"STB18                              "
"AB24.000-00.000 HF 4140  ANN++                                        ",51547,24.0000,0.0000,0.0000,"HF 4140  ANN++                ",1537.943,1293.2035,0.000,0.000,0.000,"24.000 ROUND BAR              ",PLI,"DEFAULT                            "
"AB24.000-00.000 HF 4140  AR                                           ",52330,24.0000,0.0000,0.0000,"HF 4140  AR                   ",1537.943,2023.7102,7.417,0.000,0.000,"24.000 ROUND BAR              ",PLI,"STB19                              "
"AB24.000-00.000 HF 4340 110 KSI NQT                                   ",51247,24.0000,0.0000,0.0000,"HF  4340 110 KSI NQT          ",1537.943,1851.7671,0.000,0.000,0.000,"24.000 ROUND BAR              ",PLI,"DEFAULT                            "
"AB24.000-00.000 HF 8620  NORM                                         ",52572,24.0000,0.0000,0.0000,"HF 8620  NORM                 ",1537.943,1742.5035,3.000,0.000,0.000,"24.000 ROUND BAR              ",PLI,"DEFAULT                            "
"AB24.500-00.000 HF 8630  AF                                           ",52582,24.5000,0.0000,0.0000,"HF 8630  AF                   ",1602.691,2136.7313,14.166,0.000,10.000,"24.500 ROUND BAR              ",PLI,"DEFAULT                            "
"AB25.000-00.000 HF 4130  NORM++                                       ",52565,25.0000,0.0000,0.0000,"HF 4130  NORM++               ",1668.775,1123.4258,2.666,0.000,0.000,"25.000 ROUND BAR              ",PLI,"STB17                              "
"AB26.000-00.000 HF 4130 75KSI NQT                                     ",50727,26.0000,0.0000,0.0000,"HF 4130 75KSI NQT             ",1804.947,1443.9593,0.000,0.000,0.000,"26.000 ROUND BAR              ",PLI,"DEFAULT                            "
"AB26.000-00.000 HF 4130 80 KSI NQT                                    ",51170,26.0000,0.0000,0.0000,"HF  4130 80 KSI NQT           ",1804.947,1700.4235,0.000,0.000,0.000,"26.000 ROUND BAR              ",PLI,"DEFAULT                            "
"AB26.000-00.000 HF 4140  ANN                                          ",51596,26.0000,0.0000,0.0000,"HF 4140  ANN                  ",1804.947,1655.4650,1.667,0.000,0.000,"26.000 ROUND BAR              ",PLI,"DEFAULT                            "
"AB26.000-00.000 HF 4140 110KSI QT                                     ",50784,26.0000,0.0000,0.0000,"HF 4140 110KSI QT             ",1804.947,1368.8489,0.000,0.000,0.000,"26.000 ROUND BAR              ",PLI,"STB20                              "
"AB26.500-00.000 AF  4130 80 KSI QDT                                   ",51084,26.5000,0.0000,0.0000,"HF 4130 80 KSI NQT            ",1875.035,2411.8680,0.583,0.000,0.000,"26.500 ROUND BAR              ",PLI,"DEFAULT                            "
"AB26.500-00.000 HF 4130  NORM++                                       ",52567,26.5000,0.0000,0.0000,"HF 4130  NORM++               ",1875.035,1320.8246,3.000,0.000,0.000,"26.500 ROUND BAR              ",PLI,"STB17                              "
"AB26.500-00.000 HF 4130 75 KSI NQT                                    ",51147,26.5000,0.0000,0.0000,"HF  4130 75 KSI NQT           ",1875.035,1591.4475,0.167,0.000,0.000,"26.500 ROUND BAR              ",PLI,"DEFAULT                            "
"AB27.000-00.000 HF 4130  AR++                                         ",52683,27.0000,0.0000,0.0000,"HF 4130  AR++                 ",1946.459,1368.7333,1.500,0.000,0.000,"27.000 ROUND BAR              ",PLI,"STB17                              "
"AB27.000-00.000 HF 4130 80KSI NQT                                     ",50991,27.0000,0.0000,0.0000,"HF 4130 80KSI NQT             ",1946.459,1799.3336,3.666,0.000,0.000,"27.000 ROUND BAR              ",PLI,"STB18                              "
"AB28.000-00.000 HF 4130 75 KSI NQT++                                  ",51851,28.0000,0.0000,0.0000,"HF 4130 75 KSI NQT++          ",2093.311,2566.2684,14.250,0.000,13.750,"28.000 ROUND BAR              ",PLI,"STB18                              "
"AB30.500-00.000 HF 4130 80 KSI NQT                                    ",51165,30.5000,0.0000,0.0000,"HF  4130 80 KSI NQT           ",2483.804,3265.9834,0.583,0.000,0.000,"30.500 ROUND BAR              ",PLI,"DEFAULT                            "
"AB32.000-00.000 HF 4130 75 KSI NQT                                    ",51251,32.0000,0.0000,0.0000,"HF  4130 75 KSI NQT           ",2734.121,2512.2200,0.333,0.000,0.000,"32.000 ROUND BAR              ",PLI,"STB18                              "
"AB32.000-00.000 HF 4130 75 KSI NQT++                                  ",51747,32.0000,0.0000,0.0000,"HF 4130 75 KSI NQT++          ",2734.121,2274.4229,0.000,0.000,0.000,"32.000 ROUND BAR              ",PLI,"STB18                              "
"AQ06.750-05.500 MAC4140 AR                                            ",52227,5.5000,6.7500,0.0000,"MAC4140 AR                    ",0.000,0.0000,0.000,0.000,0.000,"5.500 X 6.750 BLOCK           ",PSI,"DEFAULT                            "
"AQ09.000-09.000 MAC 4140 ANN                                          ",50521,9.0000,9.0000,0.0000,"MAC 4140 ANN                  ",0.000,0.8078,0.000,0.000,0.000,"9.000 X 9.000 BLOCK           ",PSI,"STB19                              "
"AQ09.250-09.250 HF 4130 NORM                                          ",50325,9.2500,9.2500,0.0000,"HF 4130 NORM                  ",0.000,0.5500,0.000,0.000,0.000,"9.250 X 9.250 BLOCK           ",PSI,"STB17                              "
"AQ09.250-09.250 MAC 4130 80KSI NQT                                    ",50668,9.2500,9.2500,0.0000,"HF 4130 80KSI NQT..           ",0.000,1.2593,509.037,0.000,0.000,"9.250 X 9.250 BLOCK           ",PSI,"STB18                              "
"AQ09.500-09.500 HF4130 80 KSI NQT                                     ",51836,9.5000,9.5000,0.0000,"HF4130 80 KSI..               ",0.000,1.2000,460.221,0.000,0.000,"9.500 X 9.500 BLOCK           ",PSI,"STB18                              "
"AQ10.250-10.250 HF 4130 NORM                                          ",50326,10.2500,10.2500,0.0000,"HF 4130 NORM..                ",0.000,0.5500,535.757,0.000,0.000,"10.250 X 10.250 BLOCK         ",PSI,"STB17                              "
"AQ10.250-10.250 MAC 4130 80KSI NQT                                    ",50669,10.2500,10.2500,0.0000,"HF 4130 80KSI NQT             ",0.000,1.3553,0.000,0.000,0.000,"10.250 X 10.250 BLOCK         ",PSI,"STB18                              "
"AQ10.500-20.625 MAC 4330V NQT                                         ",51027,10.5000,20.6250,0.0000,"MAC 4330V NQT                 ",0.000,0.0000,0.000,0.000,0.000,"10.500 X 20.625 BLOCK         ",PSI,"DEFAULT                            "
"AQ11.250-00.000 MAC 4130 80KSI NQT                                    ",50665,11.2500,11.2500,0.0000,"HF 4130 80KSI NQT             ",0.000,1.1300,0.000,0.000,0.000,"11.250 X 11.250 BLOCK         ",PSI,"STB18                              "
"AQ11.250-11.250 HF 4130 NORM                                          ",50327,11.2500,11.2500,0.0000,"HF 4130 NORM                  ",0.000,0.5500,0.000,0.000,0.000,"11.250 X 11.250 BLOCK         ",PSI,"STB17                              "
"AQ12.000-15.800 MAC4130  NORM                                         ",51373,12.0000,15.8000,0.0000,"4130  NORM..                  ",0.000,1.4787,38607.692,0.000,0.000,"12.000 X 15.800 BLOCK         ",PSI,"STB17                              "
"AQ12.250-12.250 HF 4130 75 KSI NQT                                    ",51168,12.2500,12.2500,0.0000,"HF  4130 75 KSI NQT           ",0.000,0.0000,0.000,0.000,0.000,"12.250 X 12.250 BLOCK         ",PSI,"DEFAULT                            "
"AQ12.250-12.250 HF 4130 NORM                                          ",50328,12.2500,12.2500,0.0000,"HF 4130 NORM                  ",0.000,1.2367,0.000,0.000,0.000,"12.250 X 12.250 BLOCK         ",PSI,"STB17                              "
"AQ12.250-12.250 MAC 4130 80KSI NQT                                    ",50670,12.2500,12.2500,0.0000,"HF 4130 80KSI NQT             ",0.000,1.3242,0.000,0.000,0.000,"12.250 X 12.250 BLOCK         ",PSI,"STB18                              "
"AQ13.250-13.250 HF 4130 NORM                                          ",50329,13.2500,13.2500,0.0000,"HF 4130 NORM..                ",0.000,0.5500,695.918,0.000,0.000,"13.250 X 13.250 BLOCK         ",PSI,"STB17                              "
"AQ13.250-13.250 MAC 4130 80KSI NQT                                    ",50667,13.2500,13.2500,0.0000,"HF 4130 80KSI NQT             ",0.000,1.0417,845.129,0.000,0.000,"13.250 X 13.250 BLOCK         ",PSI,"STB18                              "
"AQ13.740-13.740 MAC 4130 75 KSI NQT                                   ",51231,13.7400,13.7400,0.0000,"MAC 4130 75 KSI NQT           ",0.000,0.0000,0.000,0.000,0.000,"13.740 X 13.740 BLOCK         ",PSI,"DEFAULT                            "
