IMFSP2_ItemFamilyGroup,IMITEM_ItemNumber,IMSIZ1_SizeSpec1,IMSIZ2_SizeSpec2,IMSIZ3_SizeSpec3,IMDSC2_Description2,IMWPFT_WeightPerFoot,IOACST_AverageCost,IOQOH_QuantityOnHand,IOQOO_QuantityOnOrder,IOQ_TOTAL_TotalQuantityOnOrder,IMDSC1_Description1,IMWUOM_WeightUnitOfMeasure,IMCSMO_CostingModel
"AT17.000-06.750 HF 4340 NQT 320/363                                   ",52549,17.0000,6.7500,5.1250,"HF 4340 NQT 320/363           ",649.988,0.0000,8.583,0.000,0.000,"17.000 OD 6.750 ID 5.125 WALL ",PLI,"DEFAULT                            "
"AT17.000-08.000 HF 8630M NORM                                         ",51952,17.0000,8.0000,4.5000,"HF 8630M NORM                 ",600.759,0.0000,1.583,0.000,0.000,"17.000 OD 8.000 ID 4.500 WALL ",PLI,"DEFAULT                            "
"AT17.000-10.750 HF 4330V  NQT 371/421                                 ",52339,17.0000,10.7500,3.1250,"HF 4330V  NQT 371/421         ",463.085,0.0000,0.833,0.000,0.000,17.000 OD 10.750 ID 3.125 WALL,PLI,"DEFAULT                            "
"AT17.000-12.000 HF 4140 125 KSI QT                                    ",50846,17.0000,12.0000,2.5000,"HF 4140 125 KSI QT            ",387.156,0.0000,0.000,0.000,0.000,17.000 OD 12.000 ID 2.500 WALL,PLI,"DEFAULT                            "
"AT17.000-13.000 HF 4140 P110 QT                                       ",50584,17.0000,13.0000,2.0000,"HF 4140 P110 QT               ",320.405,0.0000,0.000,0.000,0.000,17.000 OD 13.000 ID 2.000 WALL,PLI,"STB13                              "
"AT17.000-14.000 HF 4130M 125KSI QT                                    ",52749,17.0000,14.0000,1.5000,"HF 4130M 125KSI QT            ",248.314,0.0000,0.000,80.667,0.000,17.000 OD 14.000 ID 1.500 WALL,PLI,"STB11                              "
"AT17.000-14.000 HF 4140 LN80 NQT                                      ",50643,17.0000,14.0000,1.5000,"HF 4140 LN80 NQT              ",248.314,261.2557,0.000,0.000,0.000,17.000 OD 14.000 ID 1.500 WALL,PLI,"STB05                              "
"AT17.000-14.000 HF 4140 NORM                                          ",50356,17.0000,14.0000,1.5000,"HF 4140 NORM                  ",248.314,311.0795,0.000,0.000,0.000,17.000 OD 14.000 ID 1.500 WALL,PLI,"STB07                              "
"AT17.000-14.000 HF 4140 P110 QT                                       ",50527,17.0000,14.0000,1.5000,"HF 4140 P110 QT               ",248.314,297.0829,0.000,0.000,0.000,17.000 OD 14.000 ID 1.500 WALL,PLI,"STB13                              "
"AT17.000-14.500 HF API K55++                                          ",52211,17.0000,14.5000,1.2500,"HF API K55++                  ",210.266,290.2907,4.583,0.000,25.000,17.000 OD 14.500 ID 1.250 WALL,PLI,"DEFAULT                            "
"AT17.000-15.000 HF 4140  NORM                                         ",51865,17.0000,15.0000,1.0000,"HF 4140  NORM                 ",170.883,0.0000,0.000,0.000,0.000,17.000 OD 15.000 ID 1.000 WALL,PLI,"DEFAULT                            "
"AT17.000-15.000 HF 4140 50-80 YLD                                     ",52277,17.0000,15.0000,1.0000,"HF 4140 50-80 YLD QT          ",170.883,0.0000,2.000,0.000,0.000,17.000 OD 15.000 ID 1.000 WALL,PLI,"DEFAULT                            "
"AT17.480-14.480 HF 4130M Q125                                         ",52610,17.4800,14.4800,1.5000,"HF 4130M Q125                 ",256.003,403.7954,32.250,0.000,0.000,17.480 OD 14.480 ID 1.500 WALL,PLI,"DEFAULT                            "
"AT17.500-11.000 HF 4130M NORM                                         ",50872,17.5000,11.0000,3.2500,"HF 4130M NORM                 ",494.625,682.5222,0.000,0.000,0.000,17.500 OD 11.000 ID 3.250 WALL,PLI,"DEFAULT                            "
