ITITEM_ItemNumber,ITTAG_TagNumber,ITTDES_TagDescription,ITLNTH_LengthFeet,ITTPCS_NumberOfPieces,ITHEAT_HeatNumber,ITV301_VendorOrBatchCode,ITLOCT_StorageLocation,ITTQTY_TotalQuantity,ITRQTY_ReservedQuantity,IMFSP2_ItemFamilyGroup
50018," 294421","9.000 BAR HF 4130M7 ANN            ",320.0000,2.000,"X6416          ","NA                            ","16S9   ",53.333,0.000,"AB09.000-00.000 HF 4130M7 ANN                                         "
50020," 337812","9.500 BAR HF 4340 ANN++            ",132.0000,1.000,"222-019        ","9                             ","2SB51  ",11.000,0.000,"AB09.500-00.000 HF 4340 ANN++                                         "
50020," 337660","9.500 BAR HF 4340 ANN++            ",28.0000,1.000,"222-020Z       ","9                             ","2SB10  ",2.333,0.000,"AB09.500-00.000 HF 4340 ANN++                                         "
50020," 327323","9.500 BAR HF 4340 ANN++            ",173.0000,1.000,"222-020Z       ","9                             ","23S9   ",14.417,0.000,"AB09.500-00.000 HF 4340 ANN++                                         "
50020," 232120","9.500 BAR HF 4340 ANN++            ",198.0000,1.000,"222-020Z       ","9                             ","23S9   ",16.500,16.500,"AB09.500-00.000 HF 4340 ANN++                                         "
50020," 232121","9.500 BAR HF 4340 ANN++            ",213.0000,1.000,"222-020Z       ","9                             ","23S9   ",17.750,17.750,"AB09.500-00.000 HF 4340 ANN++                                         "
50022," 267602","10.000 BAR HF 4140  AR             ",31.0000,1.000,"A65217         ","E21B6K0596                    ","2SB1   ",2.583,0.000,"AB10.000-00.000 HF 4140 AR                                            "
50022," 338609","10.000 BAR HF 4140  AR..           ",53.0000,1.000,"A65217         ","E21B6K0596                    ","2SB31  ",4.417,0.000,"AB10.000-00.000 HF 4140 AR                                            "
50022," 244499","10.000 BAR HF 4140  AR             ",125.0000,1.000,"A65217         ","E21B6K0596                    ","2SB52  ",10.417,0.000,"AB10.000-00.000 HF 4140 AR                                            "
50022," 244498","10.000 BAR HF 4140  AR             ",133.0000,1.000,"A65217         ","E21B6K0596                    ","2SB54  ",11.083,0.000,"AB10.000-00.000 HF 4140 AR                                            "
50022," 260025","10.000 BAR HF 4140  AR             ",124.0000,1.000,"A65218         ","E21B6K0597                    ","2SB54  ",10.333,0.000,"AB10.000-00.000 HF 4140 AR                                            "
50022," 222295","10.000 BAR HF 4140  AR             ",276.0000,1.000,"A65218         ","E21B6K0597                    ","16S8   ",23.000,0.000,"AB10.000-00.000 HF 4140 AR                                            "
50023," 186706","10.000 BAR HF 4340 ANN++           ",20.0000,1.000,"191-855        ","9                             ","RY     ",1.667,0.000,"AB10.000-00.000 HF 4340 ANN++                                         "
50023," 165928","10.000 BAR HF 4340 ANN             ",20.0000,1.000,"XJK007070      ","9                             ","RY     ",1.667,1.667,"AB10.000-00.000 HF 4340 ANN++                                         "
50024," 293228","10.000 BAR HF 8630 AR.             ",14.0000,1.000,"31428          ","NA                            ","RY     ",1.167,0.000,"AB10.000-00.000 HF 8630 AR                                            "
50024," 334540","10.000 BAR HF 8630 AR              ",15.0000,1.000,"31428          ","NA                            ","RY     ",1.250,0.000,"AB10.000-00.000 HF 8630 AR                                            "
50024," 304967","10.000 BAR HF 8630 AR              ",23.0000,1.000,"31428          ","NA                            ","RY     ",1.917,0.000,"AB10.000-00.000 HF 8630 AR                                            "
50024," 324743","10.000 BAR HF 8630 AR              ",28.0000,1.000,"31428          ","NA                            ","2SB12  ",2.333,0.000,"AB10.000-00.000 HF 8630 AR                                            "
50024," 330944","10.000 BAR HF 8630 AR              ",31.0000,1.000,"31428          ","NA                            ","2SB9   ",2.583,0.000,"AB10.000-00.000 HF 8630 AR                                            "
