QueryName,Order_districtPlusTransaction,Salesman_Name_____SMNAME,Order_Type_____OOTYPE,Customer_DistrictPlusCustomer,Customer_Alpha_Name_____CALPHA,InvoiceDate_OOI,ITEM_NUMBER_____ODITEM,Ship_To_Vendor_#_____BSSVEN,Multiple_SPO_____BSSPS#
"Sales analysis, SPO",1951336,LACEY CORTEZ   ,A,100138,DIXIE IRON WORKS LTD               ,20240430,51007,121.0,2.0
"Sales analysis, SPO",1951336,LACEY CORTEZ   ,A,100138,DIXIE IRON WORKS LTD               ,20240430,51007,218.0,1.0
"Sales analysis, SPO",1951342,LACEY CORTEZ   ,A,100138,DIXIE IRON WORKS LTD               ,20240503,51007,218.0,1.0
"Sales analysis, SPO",1951342,LACEY CORTEZ   ,A,100138,DIXIE IRON WORKS LTD               ,20240503,51007,121.0,2.0
"Sales analysis, SPO",1951345,LACEY CORTEZ   ,A,100138,DIXIE IRON WORKS LTD               ,20240503,51007,218.0,1.0
"Sales analysis, SPO",1951345,LACEY CORTEZ   ,A,100138,DIXIE IRON WORKS LTD               ,20240503,51007,121.0,2.0
"Sales analysis, SPO",1951346,BEN HILTON     ,A,100395,KAJAN PERFECTION                   ,20240419,51629,121.0,2.0
"Sales analysis, SPO",1951346,BEN HILTON     ,A,100395,KAJAN PERFECTION                   ,20240419,51629,168.0,1.0
"Sales analysis, SPO",1951347,LACEY CORTEZ   ,A,100138,DIXIE IRON WORKS LTD               ,20240503,51007,218.0,1.0
"Sales analysis, SPO",1951347,LACEY CORTEZ   ,A,100138,DIXIE IRON WORKS LTD               ,20240503,51007,121.0,2.0
"Sales analysis, SPO",1951348,LACEY CORTEZ   ,A,100138,DIXIE IRON WORKS LTD               ,20240503,51007,218.0,1.0
"Sales analysis, SPO",1951348,LACEY CORTEZ   ,A,100138,DIXIE IRON WORKS LTD               ,20240503,51007,121.0,2.0
"Sales analysis, SPO",1951349,LACEY CORTEZ   ,A,100286,OLYMPIAN MACHINE LLC               ,20240419,51648,119.0,2.0
"Sales analysis, SPO",1951349,LACEY CORTEZ   ,A,100286,OLYMPIAN MACHINE LLC               ,20240419,51648,168.0,3.0
"Sales analysis, SPO",1951349,LACEY CORTEZ   ,A,100286,OLYMPIAN MACHINE LLC               ,20240419,51648,307.0,1.0
"Sales analysis, SPO",1951355,SHAWN REYES    ,A,100910,AMERICAN BLOCK                     ,20240411,51275,168.0,1.0
"Sales analysis, SPO",1951364,BEN HILTON     ,A,100125,"STREAMLINE INDUSTRIES, LLC         ",20240423,51986,180.0,1.0
"Sales analysis, SPO",1951364,BEN HILTON     ,A,100125,"STREAMLINE INDUSTRIES, LLC         ",20240423,51986,121.0,2.0
"Sales analysis, SPO",1951368,BEN HILTON     ,B,100395,KAJAN PERFECTION                   ,20240405,BOBAR,119.0,1.0
"Sales analysis, SPO",1951382,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20240419,50290,180.0,1.0
"Sales analysis, SPO",1951382,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20240419,50290,121.0,2.0
"Sales analysis, SPO",1951382,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20240419,50290,119.0,3.0
