GLACCT_General_Ledger_Account,GLAMT_Transaction_Amount,GLDESC_Description,GLBTCH_Batch,GLREF_Reference,GLTRN#_Transaction_Number,GLCUST_Customer_ID,GLRECD_Record_Type,GLCOMP_Company_Code,GLDIST_Distribution_Center,GLAPPL_Application_Source,GLPERD_Posting_Period,GLPPYY_Posting_Year,GLCSTC_Cost_Center,GLCRDB_Credit_Debit,GLPCC_Posting_Century,GLPYY_Posting_Year,GLPMM_Posting_Month,GLPDD_Posting_Day,GLSYY_Source_Year,GLSMM_Source_Month,GLSDD_Source_Day,GLBDIS_Billing_Distribution_Center,GLRPTY_Report_Type,GLRP#_Report_Number,GLEXDT_External_Date,GLEXTM_External_Time,GLPGM_Program_Code,GLDSP_Distribution_Point,GLUSER_User,GLTIME_Time,GLTRNT_Transaction_Type,GLTYPE_TYPE,GLTRDS_Transaction_Distribution_Sequence,GLMLIN_Multi_line_Number,GLCDIS_Customer_Distribution_Code,GLAPTR_AP_Transaction_Reference,GLLOCK_Lock_Flag,GLRFCC_Reference_Century,GLRFYY_Reference_Year,GLRFMM_Reference_Month,GLRFDD_Reference_Day,GLAMTQ_Quantified_Amount,GLREF_CLEAN_Clean_Reference,GLREF_REV_Reversal_Reference
1503000000,7.72,"OLYMPIAN MACHINE LLC               ",0,"50162          ",833223,286,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112417,OE," ",1,1,1,0,0,0,0,0,0,-7.72,50162,26105
1501000000,54.58,"OLYMPIAN MACHINE LLC               ",0,"50174          ",832889,286,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112503,OE," ",1,1,1,0,0,0,0,0,0,-54.58,50174,47105
1503000000,54.58,"OLYMPIAN MACHINE LLC               ",0,"50174          ",832889,286,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112503,OE," ",1,1,1,0,0,0,0,0,0,54.58,50174,47105
1501000000,136.49,"OLYMPIAN MACHINE LLC               ",0,"50174          ",832889,286,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112503,OE," ",1,1,1,0,0,0,0,0,0,136.49,50174,47105
1503000000,136.49,"OLYMPIAN MACHINE LLC               ",0,"50174          ",832889,286,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112503,OE," ",1,1,1,0,0,0,0,0,0,-136.49,50174,47105
1501000000,483.70,"OLYMPIAN MACHINE LLC               ",0,"50174          ",832889,286,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",112503,OE," ",1,1,1,0,0,0,0,0,0,-483.70,50174,47105
1503000000,483.70,"OLYMPIAN MACHINE LLC               ",0,"50174          ",832889,286,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",112503,OE," ",1,1,1,0,0,0,0,0,0,483.70,50174,47105
1501000000,677.95,"PACKERS PLUS                       ",0,"50223          ",833490,223,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",113053,OE," ",1,1,1,0,0,0,0,0,0,-677.95,50223,32205
1503000000,677.95,"PACKERS PLUS                       ",0,"50223          ",833490,223,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",113053,OE," ",1,1,1,0,0,0,0,0,0,677.95,50223,32205
1501000000,956.12,"PACKERS PLUS                       ",0,"50223          ",833490,223,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",113053,OE," ",1,1,1,0,0,0,0,0,0,-956.12,50223,32205
1503000000,956.12,"PACKERS PLUS                       ",0,"50223          ",833490,223,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",113053,OE," ",1,1,1,0,0,0,0,0,0,956.12,50223,32205
1501000000,952.93,"PACKERS PLUS                       ",0,"50223          ",833490,223,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",113053,OE," ",1,1,1,0,0,0,0,0,0,-952.93,50223,32205
1503000000,952.93,"PACKERS PLUS                       ",0,"50223          ",833490,223,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",113053,OE," ",1,1,1,0,0,0,0,0,0,952.93,50223,32205
1501000000,188.68,"PACKERS PLUS                       ",0,"50223          ",833490,223,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",113053,OE," ",1,1,1,0,0,0,0,0,0,188.68,50223,32205
1503000000,188.68,"PACKERS PLUS                       ",0,"50223          ",833490,223,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",113053,OE," ",1,1,1,0,0,0,0,0,0,-188.68,50223,32205
1501000000,2839.78,"  72056                            ",21771,"51243          ",0,0,E,1,1,IA,1,18,0,C,20,18,1,3,18,1,3,1," ",0,20180221,105251,"IA640     ","YRIOSA1   ","YRIOS     ",113418,IA,Q,0,0,0,0,0,0,0,0,0,-2839.78,51243,34215
4101400000,2839.78,"  72056                            ",21771,"51243          ",0,0,E,1,1,IA,1,18,0,D,20,18,1,3,18,1,3,1," ",0,20180221,105253,"IA640     ","YRIOSA1   ","YRIOS     ",113418,IA,Q,0,0,0,0,0,0,0,0,0,2839.78,51243,34215
1501000000,615.56,"  72057                            ",21771,"51243          ",0,0,E,1,1,IA,1,18,0,D,20,18,1,3,18,1,3,1," ",0,20180221,105251,"IA640     ","YRIOSA1   ","YRIOS     ",113418,IA,Q,0,0,0,0,0,0,0,0,0,615.56,51243,34215
4101400000,615.56,"  72057                            ",21771,"51243          ",0,0,E,1,1,IA,1,18,0,C,20,18,1,3,18,1,3,1," ",0,20180221,105253,"IA640     ","YRIOSA1   ","YRIOS     ",113418,IA,Q,0,0,0,0,0,0,0,0,0,-615.56,51243,34215
1501000000,2224.21,"  72058                            ",21771,"51243          ",0,0,E,1,1,IA,1,18,0,D,20,18,1,3,18,1,3,1," ",0,20180221,105251,"IA640     ","YRIOSA1   ","YRIOS     ",113418,IA,Q,0,0,0,0,0,0,0,0,0,2224.21,51243,34215
4101400000,2224.21,"  72058                            ",21771,"51243          ",0,0,E,1,1,IA,1,18,0,C,20,18,1,3,18,1,3,1," ",0,20180221,105253,"IA640     ","YRIOSA1   ","YRIOS     ",113418,IA,Q,0,0,0,0,0,0,0,0,0,-2224.21,51243,34215
1001100000,100630.13,"STB HOLDINGS                       ",4365,"       99000225",0,0,E,1,1,CD,1,18,0,C,20,18,1,2,18,1,3,0,V,209,20180221,105240,"AP856     ",CSTEWARTA1,"CSTEWART  ",113529,"  "," ",0,0,0,0,0,20,18,1,2,-100630.13,"       99000225",52200099
2001100000,100630.13,"STB HOLDINGS                       ",4365,"       99000225",0,0,E,1,1,CD,1,18,0,D,20,18,1,2,18,1,3,0,V,209,20180221,105241,"AP856     ",CSTEWARTA1,"CSTEWART  ",113529,"  "," ",0,0,0,0,0,20,18,1,2,100630.13,"       99000225",52200099
1501000000,2244.31,"HALLIBURTON ENERGY SERVICES        ",0,"50144          ",833051,189,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ",KSAUCEDOA1,"KSAUCEDO  ",113623,OE," ",1,1,1,0,0,0,0,0,0,-2244.31,50144,44105
1503000000,2244.31,"HALLIBURTON ENERGY SERVICES        ",0,"50144          ",833051,189,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ",KSAUCEDOA1,"KSAUCEDO  ",113623,OE," ",1,1,1,0,0,0,0,0,0,2244.31,50144,44105
1501000000,4.71,"HALLIBURTON ENERGY SERVICES        ",0,"50144          ",833051,189,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ",KSAUCEDOA1,"KSAUCEDO  ",113623,OE," ",1,1,1,0,0,0,0,0,0,4.71,50144,44105
1503000000,4.71,"HALLIBURTON ENERGY SERVICES        ",0,"50144          ",833051,189,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ",KSAUCEDOA1,"KSAUCEDO  ",113623,OE," ",1,1,1,0,0,0,0,0,0,-4.71,50144,44105
1501000000,615.56,"SEABOARD INTERNATIONAL INC         ",0,"51243          ",833330,513,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",113634,OE," ",1,1,1,0,0,0,0,0,0,-615.56,51243,34215
1503000000,615.56,"SEABOARD INTERNATIONAL INC         ",0,"51243          ",833330,513,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",113634,OE," ",1,1,1,0,0,0,0,0,0,615.56,51243,34215
1501000000,2824.13,"HALLIBURTON ENERGY SERVICES        ",0,"50144          ",832815,189,E,1,1,IU,1,18,0,C,20,18,1,3,18,1,3,0," ",0,20180221,105303,"OE222     ",KSAUCEDOA1,"KSAUCEDO  ",113704,OE," ",1,1,1,0,0,0,0,0,0,-2824.13,50144,44105
1503000000,2824.13,"HALLIBURTON ENERGY SERVICES        ",0,"50144          ",832815,189,E,1,1,IU,1,18,0,D,20,18,1,3,18,1,3,0," ",0,20180221,105305,"OE222     ",KSAUCEDOA1,"KSAUCEDO  ",113704,OE," ",1,1,1,0,0,0,0,0,0,2824.13,50144,44105
1001100000,166.00,"CASH-IN AUTO ENTRY                 ",7858,"         025434",832083,144,E,1,1,CR,1,18,0,D,20,18,1,2,18,1,3,1," ",0,20180221,105245,"AR010     ",CSTEWARTA1,"CSTEWART  ",113648,OE," ",1,0,1,0,1,20,18,1,2,166.00,"         025434",434520
1021100000,166.00,"A/R TRADE AUTO ENTRY               ",7858,"         025434",832083,144,E,1,1,CR,1,18,0,C,20,18,1,2,18,1,3,1," ",0,20180221,105246,"AR010     ",CSTEWARTA1,"CSTEWART  ",113648,OE," ",1,0,1,0,1,20,18,1,2,-166.00,"         025434",434520
1001100000,1712.91,"CASH-IN AUTO ENTRY                 ",7858,"         046612",832845,118,E,1,1,CR,1,18,0,D,20,18,1,2,18,1,3,1," ",0,20180221,105245,"AR010     ",CSTEWARTA1,"CSTEWART  ",113648,OE," ",1,0,1,0,1,20,18,1,2,1712.91,"         046612",216640
1021100000,1712.91,"A/R TRADE AUTO ENTRY               ",7858,"         046612",832845,118,E,1,1,CR,1,18,0,C,20,18,1,2,18,1,3,1," ",0,20180221,105246,"AR010     ",CSTEWARTA1,"CSTEWART  ",113648,OE," ",1,0,1,0,1,20,18,1,2,-1712.91,"         046612",216640
