MDORDR_MaterialProcessingOrder,VVNDR_VendorCode,VALPHA_VendorName,MDCLOS_CloseFlag,MDITEM_ItemNumber,MDCRTD_CreationDate,MPRQDATE_RequestedProcessingDate,MDOQTY_QuantityOrdered,MDOUOM_UnitOfMeasure,MDIQTY_QuantityIssued
401865,119,"ACCU-TEST LABS           ",P,50271,"3.915 2.925 .495 CD 4130 LN80 QT.  ",20230404,0.667,"LB ",0.000
402155,119,"ACCU-TEST LABS           ",P,50286,"6.250 4.000 1.125 4130M 125KSI     ",20250303,0.250,"LB ",0.000
402046,119,"ACCU-TEST LABS           ",P,50286,"6.250 4.000 1.125 4130M 125KSI..   ",20240619,0.250,"LB ",0.000
402032,119,"ACCU-TEST LABS           ",P,50286,"6.250 4.000 1.125 4130M 125KSI..   ",20240617,0.250,"LB ",0.000
401958,119,"ACCU-TEST LABS           ",P,50334,"4.500 BAR HF 4140 110KSI QT        ",20231127,0.500,"LB ",0.000
401956,119,"ACCU-TEST LABS           ",P,50334,"4.500 BAR HF 4140 110KSI QT        ",20231120,1.000,"LB ",0.000
401783,119,"ACCU-TEST LABS           ",P,50344,"5.500 BAR HF 4140 80KSI QT         ",20221027,0.500,"LB ",0.000
401782,120,"G&S                      ",P,50344,"5.500 BAR HF 4140 80KSI QT         ",20221024,46.500,"LB ",0.000
401953,119,"ACCU-TEST LABS           ",P,50365,"3.240 2.376 .432 CD 4130 LN80 QT   ",20231106,0.833,"LB ",0.000
401952,119,"ACCU-TEST LABS           ",P,50365,"3.240 2.376 .432 CD 4130 LN80 QT   ",20231030,140.000,"LB ",0.000
401951,119,"ACCU-TEST LABS           ",P,50365,"3.240 2.376 .432 CD 4130 LN80 QT   ",20231031,0.583,"LB ",0.000
402041,119,"ACCU-TEST LABS           ",P,50367,"3.750 BAR HF 4140 80KSI QT         ",20240619,44.000,"LB ",0.000
402040,119,"ACCU-TEST LABS           ",P,50367,"3.750 BAR HF 4140 80KSI QT         ",20240619,0.666,"LB ",0.000
402120,119,"ACCU-TEST LABS           ",P,50375,"5.500 BAR HF 4140 110KSI QT        ",20241115,0.333,"LB ",0.000
402075,121,"SPECIALTY HEAT TREAT     ",P,50404,"9.500 BAR HF 4140 80KSI NQT..      ",20240823,11.583,"LB ",0.000
401909,121,"SPECIALTY HEAT TREAT     ",P,50404,"9.500 BAR HF 4140 80KSI NQT        ",20230623,11.000,"LB ",0.000
402115,119,"ACCU-TEST LABS           ",P,50405,"9.500 BAR HF 4140 110KSI NQT       ",20241031,20.750,"LB ",0.000
402114,119,"ACCU-TEST LABS           ",P,50405,"9.500 BAR HF 4140 110KSI NQT       ",20241101,0.500,"LB ",0.000
401762,121,"SPECIALTY HEAT TREAT     ",P,50409,"6.500 BAR HF 4130 80KSI NQT        ",20220930,154.333,"LB ",2.249
401449,121,"SPECIALTY HEAT TREAT     "," ",50411,"4.250 2.250 1.000 HF 4140 LN80 QT  ",20240319,4.083,"LB ",4.083
401837,120,"G&S                      ",P,50422,"4.000 BAR HF 4140 80KSI NQT        ",20230124,80.000,"LB ",0.000
401836,119,"ACCU-TEST LABS           ",P,50422,"4.000 BAR HF 4140 80KSI NQT        ",20230126,0.667,"LB ",0.000
402146,307,AMERICAN ABRASIVES & COAT,P,50423,"9.000 BAR HF 4140 80KSI NQT        ",20250220,90.000,"LB ",0.417
402145,119,"ACCU-TEST LABS           ",P,50423,"9.000 BAR HF 4140 80KSI NQT        ",20250220,90.000,"LB ",0.417
402141,121,"SPECIALTY HEAT TREAT     ",P,50423,"9.000 BAR HF 4140 80KSI NQT        ",20250217,90.000,"LB ",0.417
401922,307,AMERICAN ABRASIVES & COAT,P,50423,"9.000 BAR HF 4140 80KSI NQT        ",20230721,172.000,"LB ",25.416
401921,119,"ACCU-TEST LABS           ",P,50423,"9.000 BAR HF 4140 80KSI NQT        ",20230725,180.000,"LB ",33.417
401914,119,"ACCU-TEST LABS           ",P,50423,"9.000 BAR HF 4140 80KSI NQT        ",20230629,83.083,"LB ",83.083
401912,121,"SPECIALTY HEAT TREAT     ",C,50423,"9.000 BAR HF 4140 80KSI NQT        ",20230721,172.000,"LB ",4.251
401906,121,"SPECIALTY HEAT TREAT     ",P,50423,"9.000 BAR HF 4140 80KSI NQT        ",20230630,84.000,"LB ",1.000
401813,120,"G&S                      ",P,50423,"9.000 BAR HF 4140 80KSI NQT        ",20230104,84.833,"LB ",0.332
401810,307,AMERICAN ABRASIVES & COAT,P,50423,"9.000 BAR HF 4140 80KSI NQT        ",20230103,84.833,"LB ",0.332
401801,121,"SPECIALTY HEAT TREAT     ",P,50423,"9.000 BAR HF 4140 80KSI NQT        ",20221222,84.500,"LB ",84.500
402008,119,"ACCU-TEST LABS           ",P,50425,"10.000 BAR HF 4130 80KSI NQT       ",20240507,0.250,"LB ",0.000
401999,119,"ACCU-TEST LABS           ",P,50425,"10.000 BAR HF 4130 80KSI NQT       ",20240502,0.083,"LB ",0.000
402159,121,"SPECIALTY HEAT TREAT     ",P,50433,"6.250 BAR HF 4140 80KSI NQT        ",20250310,18.917,"LB ",0.000
402104,121,"SPECIALTY HEAT TREAT     ",P,50433,"6.250 BAR HF 4140 80KSI NQT        ",20241028,38.000,"LB ",0.000
