IOITEM_ItemNumber,IOROH_ROPHeader,IOBOMI_BOMItem,IOQOH_QuantityOnHand,IOQOR_QuantityOnOrderRequired,IOQOO_QuantityOnOrder,IOQOOR_OtherOrderQuantity,IOFCST_ForecastQty,IOBUY_BuyerCode,IODOSC_DaysOnShelf,IOCOMP_CompanyCode,IORECD_RecordStatus,IODIST_DistributionCode,IOQIT_QuantityInTransit,IOQHLD_QuantityOnHold,IOQCOL_QuantityCommitted,IOROR_ROPReorder,IOROO_ROPOrderOpen,IOROOR_ROPOrderOther,IORIT_ROPItemThreshold,IORIQC_ROPQualityControlQty,IOBOMC_BOMCost,IOLCCC_LastCountCentury,IOLCYY_LastCountYear,IOLCMM_LastCountMonth,IOLCDD_LastCountDay,IOCUOM_CountUOM,IOACST_AverageCost,IORCST_RecentCost,IORLCK_ReorderLock,IOSCST_StandardCost,IOSCCC_StdCostCentury,IOSCYY_StdCostYear,IOSCMM_StdCostMonth,IOSCDD_StdCostDay,IODOSL_DaysOnShelfLast,IOMNRQ_MinReorderQty,IOTORQ_TotalReorderQty,IOPYIB_PriorYearInbound,IOCYIB_CurrentYearInbound,IOCYIU_CurrentYearIssued,IOITST_ItemStatus,IOPLVL_PlanningLevel,IOBGIN_BeginningInventory,IOMNBL_MinimumBalance,IOROPT_ReorderPoint,IOROPL_ROPLevel,IOROQT_ROPQty,IOLDTM_LastTransactionMonth,IOBGIT_BeginningItemQty,IOROFC_ReorderForecast,IOSSTK_SafetyStock,IOLDTL_LastDetailTrans,IOINVC_InvoiceCount,IOMTST_MaterialStatus,IODISC_DiscontinuedFlag,IOOWNF_OwnedFlag,IONSDC_NeedsCountFlag,IO1RCT_FirstReceiptDate,IOTOPP_TopPickFlag,IOPMON_PlanningMonth,IOLOCC_LocationCodeCentury,IOLOYY_LocationCodeYear,IOLOMM_LocationCodeMonth,IOLODD_LocationCodeDay,IO1ACQ_FirstAcquisitionDate
51971,0.000,32.584,32.584,0.000,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,60504.09,20,25,2,3,"FT ",1856.8649,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,69788.41,130292.50,70.168,826,5.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,37,20,22,6,29,0.0000
51972,0.000,154.418,154.418,0.000,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,112416.41,20,25,2,3,"FT ",728.0007,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,112416.41,224832.82,308.836,825,0.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,31,20,22,8,3,0.0000
51973,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,1,61,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,20,25,2,3,"FT ",0.0000,0.0000,N,0.0000,0,0,0,0,260,0.000,0.000,0.00,0.00,0.000,825,0.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,10,0,0,0,0,0.0000
51974,0.000,465.834,465.834,0.000,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10765.61,20,25,2,3,"FT ",23.1104,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,12477.72,23955.92,1036.586,823,724.750,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,23,20,23,4,24,0.0000
51975,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,1,61,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,20,25,2,3,"FT ",0.0000,0.0000,N,0.0000,0,0,0,0,260,0.000,0.000,0.00,0.00,0.000,821,0.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,17,0,0,0,0,0.0000
51976,0.000,111.168,101.085,0.000,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19167.34,20,25,2,3,"FT ",172.4178,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,20891.52,40058.86,232.336,821,30.916,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,37,0,0,0,0,0.0000
51977,0.000,78.083,78.083,3.333,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17148.27,20,25,2,3,"FT ",219.6159,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,18832.07,37371.39,170.167,819,12.001,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,37,0,0,0,0,0.0000
51978,0.000,36.499,36.499,4.500,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38093.42,20,25,2,3,"FT ",1043.6838,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,42007.22,80100.62,76.748,819,3.750,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,35,20,24,10,1,0.0000
51979,0.000,2.583,2.583,0.000,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,20,25,2,3,"FT ",0.0000,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,0.00,0.00,6.332,817,3.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,37,0,0,0,0,0.0000
51980,0.000,9.666,9.666,0.000,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,20,25,2,3,"FT ",0.0000,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,0.00,0.00,19.332,816,0.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,37,0,0,0,0,0.0000
51981,0.000,8.584,8.584,14.120,0.000,0.000,0.0000,1,0,1,A,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,608.13,20,25,2,3,"FT ",70.8450,0.0000,N,0.0000,0,0,0,0,0,0.000,0.000,608.13,1216.26,17.168,816,0.000,0.000,0.000,0.000,N,0.000,0.00,1.0,0.00,0.000,N," ",M," ",D,N,N,0,36,20,22,3,8,0.0000
