IHITEM_ItemNumber,IHTRNT_TransactionType,IHCUST_CustomerCode,CALPHA_CustomerName,SALES_REP_ID_SalesmanCode
50165,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50165,IN,1243,"SCOPE TECHNOLOGY LLC               ",157
50165,IN,573,"T&A PRECISION MACHINE INC          ",110
50165,IN,736,"W74 OIL TOOLS                      ",157
50166,IN,860,"BRAVO MACHINING LLC                ",157
50166,IN,179,"LIBERTY PRECISION COMPANY LLC      ",110
50166,IN,157,"NORQUEST INDUSTRIES INC            ",120
50166,IN,951,"ODIN HEAVY INDUSTRIES LLC          ",199
50166,IN,1157,"RELIABLE MACHINERY SOLUTIONS LLC   ",157
50169,IN,1268,"3D MANUFACTURING INC               ",109
50169,IN,820,"CUTTING SOURCE PRECISION           ",157
50171,IN,1006,"AGL MACHINE WORKS                  ",109
50171,IN,106,"BENOIT CONNECTORS                  ",109
50171,IN,860,"BRAVO MACHINING LLC                ",157
50171,IN,138,"DIXIE IRON WORKS LTD               ",157
50171,IN,227,"FAITH MANUFACTURING CO INC         ",110
50171,IN,337,"NUMERICAL PRECISION INC            ",110
50171,IN,887,"TEXAS PRECISION MACHINE            ",157
50172,IN,1220,"BEACON MACHINE SERVICES LLC        ",109
50172,IN,195,"K & B INDUSTRIES                   ",106
50172,IN,286,"OLYMPIAN MACHINE LLC               ",109
50174,IN,907,"BAKER HUGHES                       ",110
50174,IN,381,"BLUELINE MANUFACTURING LLC         ",109
50174,IN,450,"FJW MACHINE COMPANY INC            ",157
50174,IN,195,"K & B INDUSTRIES                   ",106
50174,IN,395,"KAJAN PERFECTION                   ",109
50175,IN,381,"BLUELINE MANUFACTURING LLC         ",109
50177,IN,1226,"BULLDOG TOOL INC                   ",157
50177,IN,496,"CASTLE                             ",120
50177,IN,1148,"CLAY PRECISION LTD                 ",199
50177,IN,966,"LE PRECISION MANUFACTURING         ",157
50177,IN,118,"SERVICE MACHINE & SUPPLY INC       ",109
50178,IN,381,"BLUELINE MANUFACTURING LLC         ",109
50178,IN,828,"OEM MACHINING LLC                  ",157
50180,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50185,IN,753,"HALLIBURTON SINGAPORE              ",199
50185,IN,195,"K & B INDUSTRIES                   ",106
50186,IN,887,"TEXAS PRECISION MACHINE            ",157
50188,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50188,IN,753,"HALLIBURTON SINGAPORE              ",199
50191,IN,753,"HALLIBURTON SINGAPORE              ",199
50193,IN,550,"METALCRAFT MANUFACTURING LLC       ",109
50193,IN,602,"TATCO MACHINE & REPAIR INC         ",109
50210,IN,860,"BRAVO MACHINING LLC                ",157
50210,IN,557,"CITADEL CASING SOLUTIONS LLC       ",110
50210,IN,1157,"RELIABLE MACHINERY SOLUTIONS LLC   ",157
50211,IN,860,"BRAVO MACHINING LLC                ",157
50211,IN,725,"INNOVEX DOWNHOLE SOLUTIONS INC     ",110
50212,IN,907,"BAKER HUGHES                       ",110
50212,IN,725,"INNOVEX DOWNHOLE SOLUTIONS INC     ",110
50212,IN,468,"MATHERNE INSTRUMENTATION LLC       ",109
50213,IN,828,"OEM MACHINING LLC                  ",157
50214,IN,907,"BAKER HUGHES                       ",110
50214,IN,286,"OLYMPIAN MACHINE LLC               ",109
50216,IN,116,"STEWART TUBULAR PRODUCTS INC       ",110
50216,IN,299,"VALLOUREC TUBE-ALLOY LLC           ",110
50218,IN,279,"CUSTOM THREADING INC               ",110
50218,IN,725,"INNOVEX DOWNHOLE SOLUTIONS INC     ",110
50218,IN,157,"NORQUEST INDUSTRIES INC            ",120
50220,IN,1006,"AGL MACHINE WORKS                  ",109
50220,IN,362,"OILFIELD SRVCS & TECHNOLOGIES LLC  ",157
50220,IN,286,"OLYMPIAN MACHINE LLC               ",109
50220,IN,223,"PACKERS PLUS USA                   ",110
50225,IN,307,"D & L OIL TOOLS                    ",110
50226,IN,176,"ALLAMON TOOL COMPANY INC           ",110
50226,IN,561,"US STEEL OILWELL SERVICES LLC      ",157
50229,IN,163,"ANVIL MACHINE LTD                  ",120
50229,IN,307,"D & L OIL TOOLS                    ",110
50231,IN,1268,"3D MANUFACTURING INC               ",109
50231,IN,1298,"TURBONETICS ENGINEERING & SERVICES ",157
50234,IN,1268,"3D MANUFACTURING INC               ",109
50234,IN,235,"RYERSON                            ",199
50235,IN,157,"NORQUEST INDUSTRIES INC            ",120
50236,IN,381,"BLUELINE MANUFACTURING LLC         ",109
50236,IN,213,"TEXAS HONING INC                   ",110
50237,IN,1226,"BULLDOG TOOL INC                   ",157
50237,IN,157,"NORQUEST INDUSTRIES INC            ",120
50238,IN,901,"KIRBY PRECISION MACHINE LLC        ",110
50239,IN,1226,"BULLDOG TOOL INC                   ",157
50239,IN,317,"GULF COAST METAL SALES             ",199
50239,IN,1378,"HYDRAULIC & HOSE SPECIALIST        ",199
50240,IN,179,"LIBERTY PRECISION COMPANY LLC      ",110
50240,IN,157,"NORQUEST INDUSTRIES INC            ",120
50241,IN,886,"HOUSTON FOUNDRY & MFG              ",157
50241,IN,157,"NORQUEST INDUSTRIES INC            ",120
50244,IN,512,"ROY B WHEELER CO INC               ",110
50247,IN,118,"SERVICE MACHINE & SUPPLY INC       ",109
50248,IN,1006,"AGL MACHINE WORKS                  ",109
50248,IN,157,"NORQUEST INDUSTRIES INC            ",120
50249,IN,860,"BRAVO MACHINING LLC                ",157
50250,IN,1268,"3D MANUFACTURING INC               ",109
50250,IN,1006,"AGL MACHINE WORKS                  ",109
50250,IN,381,"BLUELINE MANUFACTURING LLC         ",109
50250,IN,1226,"BULLDOG TOOL INC                   ",157
50250,IN,116,"STEWART TUBULAR PRODUCTS INC       ",110
50250,IN,728,"VAM USA LLC                        ",109
50251,IN,907,"BAKER HUGHES                       ",110
50252,IN,157,"NORQUEST INDUSTRIES INC            ",120
50252,IN,235,"RYERSON                            ",199
50252,IN,116,"STEWART TUBULAR PRODUCTS INC       ",110
50253,IN,1219,"HUDCO                              ",157
50253,IN,157,"NORQUEST INDUSTRIES INC            ",120
50260,IN,1339,"ELITE INDUSTRIAL SOLUTIONS INC     ",101
50261,IN,228,"CROSSOVER INC                      ",109
50261,IN,162,"TEJAS TUBULAR PRODUCTS INC         ",110
50264,IN,1347,"PESCA TOOLS                        ",121
50265,IN,1339,"ELITE INDUSTRIAL SOLUTIONS INC     ",101
50267,IN,228,"CROSSOVER INC                      ",109
50268,IN,1268,"3D MANUFACTURING INC               ",109
50274,IN,376,"ED'S PRECISION MFG LLC             ",110
50274,IN,408,"OILFIELD STEEL SUPPLY              ",199
50274,IN,592,"STEEL ALLOYS & SVCS                ",199
50275,IN,170,"AMERICAN PIPING PRODUCTS           ",199
50275,IN,612,"TEXAS SHAPES LLC                   ",157
50277,IN,636,"AEROLIFT MACHINE LLC               ",110
50277,IN,907,"BAKER HUGHES                       ",110
50277,IN,227,"FAITH MANUFACTURING CO INC         ",110
50277,IN,195,"K & B INDUSTRIES                   ",106
50277,IN,1403,"LV CNC LLC                         ",199
50277,IN,602,"TATCO MACHINE & REPAIR INC         ",109
50278,IN,106,"BENOIT CONNECTORS                  ",109
50278,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50278,IN,333,"MAGNUM MACHINE & MFG               ",157
50278,IN,1064,"SPINDLETOP MACHINE WORKS & TECH    ",157
50278,IN,443,"WHITLIEJO SPECIALTY COMPANY LLC    ",109
50286,IN,591,"D&J MACHINE WORKS                  ",110
50286,IN,116,"STEWART TUBULAR PRODUCTS INC       ",110
50287,IN,116,"STEWART TUBULAR PRODUCTS INC       ",110
50290,IN,753,"HALLIBURTON SINGAPORE              ",199
50290,IN,102,"HUNTING ENERGY SERVICES            ",106
50290,IN,1064,"SPINDLETOP MACHINE WORKS & TECH    ",157
50298,IN,508,"COASTAL MACHINE & SUPPLY           ",109
50298,IN,753,"HALLIBURTON SINGAPORE              ",199
50298,IN,116,"STEWART TUBULAR PRODUCTS INC       ",110
50304,IN,1381,"LIBERTY LIFT SOLUTIONS LLC         ",109
50304,IN,333,"MAGNUM MACHINE & MFG               ",157
50304,IN,157,"NORQUEST INDUSTRIES INC            ",120
50305,IN,1327,"WILLIAM M WEBBER                   ",199
50306,IN,157,"NORQUEST INDUSTRIES INC            ",120
50307,IN,636,"AEROLIFT MACHINE LLC               ",110
50307,IN,557,"CITADEL CASING SOLUTIONS LLC       ",110
50307,IN,753,"HALLIBURTON SINGAPORE              ",199
50307,IN,149,"PATRIOT PREMIUM THREADING SERVICES ",157
50309,IN,106,"BENOIT CONNECTORS                  ",109
50309,IN,1083,"EARLE M JORGENSEN (CANADA)         ",199
50309,IN,565,"STABILTEC DOWNHOLE TOOLS LLC       ",109
50314,IN,209,"HOU-TECH MANUFACTURING LLC         ",157
50314,IN,725,"INNOVEX DOWNHOLE SOLUTIONS INC     ",110
50314,IN,157,"NORQUEST INDUSTRIES INC            ",120
50316,IN,381,"BLUELINE MANUFACTURING LLC         ",109
50316,IN,557,"CITADEL CASING SOLUTIONS LLC       ",110
50318,IN,636,"AEROLIFT MACHINE LLC               ",110
50318,IN,1006,"AGL MACHINE WORKS                  ",109
50318,IN,907,"BAKER HUGHES                       ",110
50318,IN,227,"FAITH MANUFACTURING CO INC         ",110
50318,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50318,IN,321,"M&M MACHINE SHOP                   ",110
50318,IN,157,"NORQUEST INDUSTRIES INC            ",120
50318,IN,1163,"SIGMAHLR                           ",157
50318,IN,1064,"SPINDLETOP MACHINE WORKS & TECH    ",157
50318,IN,417,"TURN-TECH INC                      ",157
50335,IN,500,"OFFSHORE CNC LLC                   ",157
50339,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50339,IN,102,"HUNTING ENERGY SERVICES            ",106
50340,IN,1006,"AGL MACHINE WORKS                  ",109
50340,IN,907,"BAKER HUGHES                       ",110
50340,IN,208,"ENGELBRECHT MANUFACTURING INC      ",157
50340,IN,227,"FAITH MANUFACTURING CO INC         ",110
50340,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50340,IN,464,"HIGH TECH MACHINE                  ",157
50340,IN,691,"KEYSTONE MFG                       ",157
50340,IN,901,"KIRBY PRECISION MACHINE LLC        ",110
50340,IN,157,"NORQUEST INDUSTRIES INC            ",120
50340,IN,1163,"SIGMAHLR                           ",157
50340,IN,213,"TEXAS HONING INC                   ",110
50340,IN,1134,"TUBULAR ACCESSORIES CORP           ",109
50343,IN,1226,"BULLDOG TOOL INC                   ",157
50343,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50343,IN,200,"UNIVERSAL MANUFACTURING SERVICES   ",109
50344,IN,102,"HUNTING ENERGY SERVICES            ",106
50350,IN,157,"NORQUEST INDUSTRIES INC            ",120
50361,IN,307,"D & L OIL TOOLS                    ",110
50361,IN,1172,"GRACE MACHINE INC                  ",109
50362,IN,234,"GRAYLOC PRODUCTS                   ",157
50362,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50362,IN,102,"HUNTING ENERGY SERVICES            ",106
50363,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50363,IN,195,"K & B INDUSTRIES                   ",106
50363,IN,143,"QUALITY PRECISION MACHINE          ",157
50364,IN,106,"BENOIT CONNECTORS                  ",109
50364,IN,234,"GRAYLOC PRODUCTS                   ",157
50375,IN,1006,"AGL MACHINE WORKS                  ",109
50375,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50375,IN,337,"NUMERICAL PRECISION INC            ",110
50375,IN,777,"PV AMERICAN INC                    ",157
50375,IN,1157,"RELIABLE MACHINERY SOLUTIONS LLC   ",157
50377,IN,381,"BLUELINE MANUFACTURING LLC         ",109
50377,IN,550,"METALCRAFT MANUFACTURING LLC       ",109
50377,IN,157,"NORQUEST INDUSTRIES INC            ",120
50378,IN,235,"RYERSON                            ",199
50378,IN,612,"TEXAS SHAPES LLC                   ",157
50381,IN,102,"HUNTING ENERGY SERVICES            ",106
50383,IN,728,"VAM USA LLC                        ",109
50385,IN,907,"BAKER HUGHES                       ",110
50388,IN,1006,"AGL MACHINE WORKS                  ",109
50388,IN,1012,"ALTA TUBE AND BAR INC              ",120
50388,IN,209,"HOU-TECH MANUFACTURING LLC         ",157
50388,IN,725,"INNOVEX DOWNHOLE SOLUTIONS INC     ",110
50388,IN,195,"K & B INDUSTRIES                   ",106
50388,IN,1187,"PRICE MACHINE SHOP                 ",109
50388,IN,213,"TEXAS HONING INC                   ",110
50390,IN,235,"RYERSON                            ",199
50390,IN,118,"SERVICE MACHINE & SUPPLY INC       ",109
50391,IN,498,"DOUBLE-E INC                       ",110
50397,IN,753,"HALLIBURTON SINGAPORE              ",199
50397,IN,223,"PACKERS PLUS USA                   ",110
50397,IN,116,"STEWART TUBULAR PRODUCTS INC       ",110
50403,IN,131,"CNC MANUFACTURING                  ",110
50403,IN,725,"INNOVEX DOWNHOLE SOLUTIONS INC     ",110
50404,IN,753,"HALLIBURTON SINGAPORE              ",199
50404,IN,102,"HUNTING ENERGY SERVICES            ",106
50405,IN,1219,"HUDCO                              ",157
50405,IN,981,"OD INSPECTIONS INC                 ",199
50405,IN,612,"TEXAS SHAPES LLC                   ",157
50406,IN,746,"G B INDUSTRY CO LP                 ",157
50406,IN,184,"WIRELINE PRODUCTS & SUPPLY         ",110
50407,IN,907,"BAKER HUGHES                       ",110
50407,IN,138,"DIXIE IRON WORKS LTD               ",157
50407,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50407,IN,1076,"MAVRIK                             ",110
50407,IN,783,"OEM COMPONENTS INC                 ",157
50407,IN,417,"TURN-TECH INC                      ",157
50410,IN,157,"NORQUEST INDUSTRIES INC            ",120
50410,IN,406,"TAYLOR OILFIELD MANUFACTURING INC  ",157
50411,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50411,IN,102,"HUNTING ENERGY SERVICES            ",106
50412,IN,1261,"ACCUWELD INC                       ",157
50412,IN,403,"CAMERON                            ",109
50412,IN,407,"TRI CITY PIPE & MACHINE LLC        ",109
50414,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50422,IN,648,"GEMAK SA DE CV                     ",199
50422,IN,234,"GRAYLOC PRODUCTS                   ",157
50422,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50422,IN,464,"HIGH TECH MACHINE                  ",157
50422,IN,102,"HUNTING ENERGY SERVICES            ",106
50422,IN,395,"KAJAN PERFECTION                   ",109
50422,IN,286,"OLYMPIAN MACHINE LLC               ",109
50423,IN,679,"DBC MACHINE INC                    ",157
50423,IN,753,"HALLIBURTON SINGAPORE              ",199
50423,IN,102,"HUNTING ENERGY SERVICES            ",106
50423,IN,887,"TEXAS PRECISION MACHINE            ",157
50425,IN,1140,"BLACON MACHINE                     ",157
50425,IN,227,"FAITH MANUFACTURING CO INC         ",110
50425,IN,669,"GULF MANUFACTURING LLC             ",157
50425,IN,1418,"SMI METAL PRECISION LLC            ",199
50425,IN,784,"TMS MACHINE                        ",157
50425,IN,443,"WHITLIEJO SPECIALTY COMPANY LLC    ",109
50427,IN,746,"G B INDUSTRY CO LP                 ",157
50427,IN,235,"RYERSON                            ",199
50427,IN,602,"TATCO MACHINE & REPAIR INC         ",109
50427,IN,212,"TRIG MACHINE INC                   ",110
50430,IN,157,"NORQUEST INDUSTRIES INC            ",120
50433,IN,102,"HUNTING ENERGY SERVICES            ",106
50433,IN,157,"NORQUEST INDUSTRIES INC            ",120
50436,IN,1268,"3D MANUFACTURING INC               ",109
50441,IN,131,"CNC MANUFACTURING                  ",110
50441,IN,116,"STEWART TUBULAR PRODUCTS INC       ",110
50444,IN,286,"OLYMPIAN MACHINE LLC               ",109
50444,IN,1298,"TURBONETICS ENGINEERING & SERVICES ",157
50446,IN,307,"D & L OIL TOOLS                    ",110
50446,IN,887,"TEXAS PRECISION MACHINE            ",157
50447,IN,102,"HUNTING ENERGY SERVICES            ",106
50447,IN,270,"VALLEY PERFORATING CO              ",157
50451,IN,287,"PRECISION MACHINE SHOP             ",157
50454,IN,106,"BENOIT CONNECTORS                  ",109
50454,IN,1335,"EXPRESS MACHINE WORKS INC          ",101
50455,IN,499,"CAJUN MFG LLC                      ",109
50455,IN,333,"MAGNUM MACHINE & MFG               ",157
50457,IN,333,"MAGNUM MACHINE & MFG               ",157
50457,IN,1064,"SPINDLETOP MACHINE WORKS & TECH    ",157
50458,IN,277,"CONDOR MACHINERY                   ",120
50458,IN,195,"K & B INDUSTRIES                   ",106
50461,IN,227,"FAITH MANUFACTURING CO INC         ",110
50462,IN,778,"A E MACHINE WORKS INC              ",157
50462,IN,636,"AEROLIFT MACHINE LLC               ",110
50462,IN,907,"BAKER HUGHES                       ",110
50462,IN,381,"BLUELINE MANUFACTURING LLC         ",109
50462,IN,591,"D&J MACHINE WORKS                  ",110
50462,IN,227,"FAITH MANUFACTURING CO INC         ",110
50462,IN,157,"NORQUEST INDUSTRIES INC            ",120
50462,IN,817,"SYNERGY MACHINE LLC                ",110
50462,IN,602,"TATCO MACHINE & REPAIR INC         ",109
50479,IN,547,"GULF COAST MFG LLC                 ",109
50480,IN,157,"NORQUEST INDUSTRIES INC            ",120
50482,IN,746,"G B INDUSTRY CO LP                 ",157
50496,IN,382,"GATOR VALVE                        ",109
50496,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50496,IN,102,"HUNTING ENERGY SERVICES            ",106
50496,IN,887,"TEXAS PRECISION MACHINE            ",157
50509,IN,1012,"ALTA TUBE AND BAR INC              ",120
50509,IN,560,"VELOCITY MANUFACTURING CORPORATION ",110
50513,IN,157,"NORQUEST INDUSTRIES INC            ",120
50522,IN,907,"BAKER HUGHES                       ",110
50522,IN,818,"DD PRECISION LLC                   ",157
50522,IN,1181,"ELITE MACHINING INC                ",157
50522,IN,189,"HALLIBURTON ENERGY SERVICES        ",106
50522,IN,1403,"LV CNC LLC                         ",199
