SchemaName,TableName,ApproximateRowCount
mrs,z_Customer_Master_File_____ARCUST_B4,0
mrs,z_Customer_Master_File_____MWARCUST,0
mrs,z_Customer_Master_History_File_____ARCUSHST,0
mrs,z_Customer_Number_for_TS_to_be_01_____ARCUST_01,383
mrs,z_Customer_Sales_Objective_File_____SALESOBJ,10008
mrs,z_Customer_Ship_To_Address_File_____SHIPADR,0
mrs,z_Customer_Ship_To_Instruction_File_____SHPINST,0
mrs,z_Cutting_Code_Header_File____quote#_1747__12/20/90_____CUTTHEAD,383
mrs,z_Cutting_Code_Matrix_File___quote#_1747__12/20/90_____CUTTMTX,640
mrs,z_Daily_Flash_Reconciliation_____FLASHINV,2989
mrs,z_Daily_Flash_Report_____FLASHRPT,40348
mrs,z_Daily_invoicing_analysis_____WFOE895,104
mrs,z_Delivery_Tracking_Performance_File_____DELTRACK,3887
mrs,z_District_--_Cutting_Code_Tolerances_____CUTTOLD,377
mrs,z_District_Application_Printer_File_____DISTRAFF,329
mrs,z_District_Class_File_____ITEMCLSD,0
mrs,z_EDI_Process_codes_from_TABLE_66_____EDITAB66,189
mrs,z_EDICD2__--_EDI_3_position_codes_____EDICD3,395
mrs,z_EDICD2A__--_EDI_2A_position_codes_____EDICD2A,94
mrs,z_EDICD4__--_EDI_4_position_codes_____EDICD4,84
mrs,z_E-Mail_additional_copies_____EMADDTL,176
mrs,z_Employee_File_____EMPLOYE,99
mrs,z_Employee_Parms_file_____EMPPARMS,99
mrs,z_Employee_Quote_File_____EMPQUOTE,0
mrs,z_Fast_Path_Description_File_____FASTPATH,5432
mrs,z_Fraction/Decimal_Control_File_____FRACDEC,120
mrs,z_G/L_Journal_Batch_Header_File_____GLJRBA,1406
mrs,z_G/L_Journal_Detail_File_____GLJRDT,17036
mrs,z_G/L_Journal_Header_File_____GLJRHD,2474
mrs,z_General_Ledger_Account_file_____GLACCT,258
mrs,z_General_Ledger_Master_File_____GLMAST,258
mrs,z_General_Ledger_Master_File_-_HISTORY_____GLMASTHST,1508
mrs,z_General_Ledger_Report_File_____GLRPTF,109
mrs,z_General_Ledger_Transaction_File_____GLTRANS,2932326
mrs,z_IATRANS_-_History_(Save_Batch)_____IATRANHS,491177
mrs,z_IC011_Filing_exceptions_____IC011SLSP,352
mrs,z_Image_PDF_____IMAGEPDF,0
mrs,z_Image_PDF_____IMAGEPDFB4,0
mrs,z_Industry_End_Use_Code_File_____ENDUSE,139
mrs,z_Inventory_Mill_File_____INVMILL,74
mrs,z_Inventory_Restock_File_____RESTOCK,113428
mrs,z_Item_Hist_Comments_(From_IA_Only)_____ITEMHCMT,106138
mrs,z_Item_Master_File_____ITEMBG,0
mrs,z_Item_Master_File_____ITEMMAST,0
mrs,z_Item_Master_File_____ITEMMASTXX,0
mrs,z_Item_on_hand_comment_file_____ITEMONCM,1078
mrs,z_Item_on_Hand_File_____ITEMONHD,0
mrs,z_Item_on_Hand_File_____ITEMONHDXX,0
mrs,z_Item_Summary_-_Begin_Remote_Inventory_Balance_____ITEMRMT,59062
mrs,z_Item_Summary_MTD-Inventory_reports_____ITEMSMT,0
mrs,z_Item_Summary_YTD-Inventory_reports_____ITEMSYT,0
mrs,z_Item_Tag_User_Defined_fields_____ITEMTUD,195732
mrs,z_Item_Transaction_History_____ITEMHIST,0
mrs,z_Itemtrif_-_Item_Tariff_File_____ITEMTRIF,263
mrs,z_Last_Day_of_Period_File_____EMLSTDAY,130
mrs,z_line_comment_changes_____LINECCHG,12404
mrs,z_Line_Related_Comments_____LINECMNT,929721
mrs,z_List_/_Heat_Number_____LISTHEAT,19602
mrs,z_M/P_Final_Detail_____MPHSTDET,1868
mrs,z_M/P_Final_Header_____MPHSTHDR,0
mrs,z_M/P_Final_Processing_Charges_____MPHSTPRC,6153
mrs,z_M/P_Final_Restock_____MPHSTRSK,7643
mrs,z_M/P_Final_Used_____MPHSTUSE,6544
mrs,z_Maintenance_history_____MAINTHIST,6342
mrs,z_Manifest_____MNFEST,374
mrs,z_Master_Terms_Code_File_____TERMS,154
mrs,z_Material_Processing_Order_Detail_____MPDETAIL,453
mrs,z_Material_Processing_Order_Header_____MPHDRORD,0
mrs,z_Material_Processing_Order_Profile_____MPPROFIL,454
mrs,z_mp_debits/credits_from_gl_trans_file_____GLDEBCRED,1658
mrs,z_MP_Setup_Control_File_____MPSETUP,1922
mrs,z_MP_Tracking_File_____MPTRCK,1746
mrs,z_MP_Tracking_History_File_____MPTRKHST,26615
mrs,z_MW_Email_Log_File_____EMAILLOG,6769
mrs,z_mw100_reset_audit_trail_____MWRESET,1816
mrs,z_Open_Order_File_____OEOPNORD,0
mrs,z_Operational_Information_____OPERINFO,6695
mrs,z_Order_Detail_File_____OEDETAIL,0
mrs,z_Order_Profile_File_____OEPROFIL,0
mrs,z_Order_Ship_Instructions_____OESHPINS,185370
mrs,z_Order_Tracking_File_____ORDTRCK,150592
mrs,z_Order_Tracking_File_____ORDTRHST,2828298
mrs,z_outbound_820_ach_detail_____X820OAD,13587
mrs,z_outbound_820_ach_vendor_____X820OAB,2073
mrs,z_Output_file_for_DSPFD_TYPE(*MBRLIST)_____$DSPFDA,0
mrs,z_P/O_Cash_Movement_____POCASHMV,1302
mrs,z_partxml0_____PARTXMNT,3733
mrs,z_PC_Tracking_File_____PCTRCK,41306
mrs,z_Picker_Detail_File_____PICKDTL,147435
mrs,z_PO_Company_SMO_File_____POCMPSMO,45180
mrs,z_PO_Delivery_Date_Change_Log_____POCHGLOG,4553
mrs,z_PO_Tracking_File_____POTRCK,17222
mrs,z_PO_Tracking_History_File_____POTRKHST,111920
mrs,z_Price_Matrix_File_____PMATRX_B4,0
mrs,z_Process_Charges__-_Header_____PRCHCHRG,38679
mrs,z_Process_Charges__-_Test_Quantity_____PRCHTQTY,34885
mrs,z_Process_Charges__-_Transactions_____PRCTCHRG,68320
mrs,z_PRODPROC_--Production_Process_Codes_____PRODPROC,105
mrs,z_Produced_From_____PRODFROM,47810
mrs,z_Product_Class/Subclass_File_____PRDSBCLS,411
mrs,z_Purchase_Order_Change_File_____POCHANGE,1254
mrs,z_Purchase_Order_Comment_File_(Whole_Order)_____POCOMMNT,556
mrs,z_Purchase_order_delete_file_____PODELET,103
mrs,z_Purchase_Order_Detail_File_____PODETAIL,4964
mrs,z_Purchase_Order_Header_File_____POHEADER,4986
mrs,z_Purchase_Order_Header_File_____POHEADERBH,743
mrs,z_Purchase_Order_Mark/Pack/Load_____POMKPKLD,2816
mrs,z_Purchase_Order_Receipt_History_____RCPTHIST,15446
mrs,z_Query_Builder_Physical_File_____DPPFFD,922
mrs,z_Quote_/_Order_Detail_History_File_____OEHISTRD,0
mrs,z_Quote_/_Order_History_Header_File_____OEHISTRY,0
mrs,z_Rcptcost_-_PO_receipt_cost_history_____RCPTCOST,36212
mrs,z_RECONHST_--Reconciliation_History_____RECONHST,91847
mrs,z_Remote_Inventory_On_Hand_File_____REMOTEOH,1140
mrs,z_S/A_Gross_Profit_Adjustment_Physical_file_____SAGPADJ,0
mrs,z_S/A_Item_Summary_MTD-Inventory_reports_____SLSASMT,57984
mrs,z_S/A_Item_Summary_YTD-Inventory_reports_____SLSASYT,10704
mrs,z_Sales_Analysis_Monthly_file_____SAMTHLY,312
mrs,z_Sales_Budgeting_File_____SALESBUD,1302
mrs,z_Sales_Description_Override_____SLSDSCOV,164759
mrs,z_Salesman_Recap_-_Calc_d_Sales_Figures_(Workfile)_____SLMNRCAP,0
mrs,z_Salesman_Summary_file_MTD_____SLMNSUM,2101
mrs,z_Service_Purchase_Order_Detail_File_____SPDETAIL,345841
mrs,z_Service_Purchase_Order_Header_File_____SPHEADER,54324
mrs,z_Sheet/Split_Coil_Analysis_File_____SHEETANL,19973
mrs,z_Shipment_Summary_File_____SHSUMM,35875
mrs,z_Shipments_File_____SHIPMAST,149790
mrs,z_ShipTo_Dispatch_info_____SHIPDISP,653
mrs,z_SLITTER_SET-UP_PRODUCED_(MADE)_ITEM_FILE_____SLTML,3814
mrs,z_SLITTER_SET-UP_USED_ITEM_FILE_____SLTUL,8997
mrs,z_SPO_Tracking_File_____SPOTRCK,383909
mrs,z_Standard_Industry_Code_File_____SICODE,427
mrs,z_System_Calendar_File_____CALENDAR,192
mrs,z_System_Parameter_Last_Maintained_Reference_File_____SYSCNSLM,83
mrs,z_Tag_Location_Movement_History_____TAGLOCMV,506821
mrs,z_Tag_Master_File_____ITEMTAG,0
mrs,z_Tag_Master_File_____ITEMTAGB4,238501
mrs,z_Tag_Master_File_____ITEMTAGLAH,238502
mrs,z_Tag_Process_History_File_____ITEMTPHS,7087
mrs,z_TAGBUILD_--Tag_Build_Up_____TAGBUILD,5498
mrs,z_TAGTRAN_--_Tag_Status_transaction_____TAGTRAN,302733
mrs,z_Tax_Exemption_File_____TAXEXMPT,845
mrs,z_Three_Position_Item_Class_File_____ITEMCLS3,0
mrs,z_Tolerance_Details_for_Main_Lines_____TLDETAIL,0
mrs,z_Tracking_Outputq_File_____TRKOUTQ,90
mrs,z_Upload_Data_from_IFS_____UPINPF,115
mrs,z_Upload_PC_file_for_Batch_Scanners_____UPLOADPI,521
mrs,z_Used_Line_File_____USEDLINE,205443
mrs,z_Used_line_pallet_info_____USEDBLD,205329
mrs,z_Vendor_ACH_Bank_Info_____ACHINFO,198
mrs,z_Vendor_Mail_To_Address_File_____VENDMAIL,802
mrs,z_Vendor_Master_File_____APVEND,0
mrs,z_Vendor_Master_History_File_____APVNDHST,731
mrs,z_Vendor_Quality_Approval_File_____VENDQUAL,323
mrs,z_Vendor_Remit_To_Address_File_____VENDREMT,730
mrs,z_Vendor_Request_Header_File_____VNDREQHD,304
mrs,z_Vendor_Ship_To_Address_File_____VENDSHIP,0
mrs,z_VENDPFR_Vendor_Performance_File_____VENDPRFM,811
mrs,z_Warehouse_Order_Tracking_Code_File_____WHORDTRC,0
mrs,z_Whole_Order_Charge_Transaction_File_____WHOLORCH,1872
mrs,z_Work_file_to_hold_documents_to_be_faxed_____WFFAXEMAIL,5565
mrs,z_Year_End_Summary_of_ARCUSHST_____ARCUSYEH,6342
