GLRECD,GLCOMP,GLDIST,GLAPPL,GLPERD,GLPPYY,GLCSTC,GLCRDB,GLACCT,GLAMT,GLPCC,GLPYY,GLPMM,GLPDD,GLSYY,GLSMM,GLSDD,GLDESC,GLBDIS,GLBTCH,GLREF,GLRPTY,GLRP#,GLEXDT,GLEXTM,GLPGM,GLDSP,GLUSER,GLTIME,GLTRNT,GLTYPE,GLTRDS,GLTRN#,GLMLIN,GLCDIS,GLCUST,GLAPTR,GLLOCK,GLRFCC,GLRFYY,GLRFMM,GLRFDD,GLAMTQ,GLREF_CLEAN,GLREF_REV
E,1,1,IU,1,18,0,C,1501000000,615.56,20,18,1,3,18,1,3,"SEABOARD INTERNATIONAL INC         ",0,0,"51243          "," ",0,20180221,105303,"OE222     ","YRIOSA1   ","YRIOS     ",113634,OE," ",1,833330,1,1,513,0,0,0,0,0,0,-615.56,51243,34215
E,1,1,IU,1,18,0,D,1503000000,615.56,20,18,1,3,18,1,3,"SEABOARD INTERNATIONAL INC         ",0,0,"51243          "," ",0,20180221,105305,"OE222     ","YRIOSA1   ","YRIOS     ",113634,OE," ",1,833330,1,1,513,0,0,0,0,0,0,615.56,51243,34215
E,1,1,IU,1,18,0,C,1501000000,2824.13,20,18,1,3,18,1,3,"HALLIBURTON ENERGY SERVICES        ",0,0,"50144          "," ",0,20180221,105303,"OE222     ",KSAUCEDOA1,"KSAUCEDO  ",113704,OE," ",1,832815,1,1,189,0,0,0,0,0,0,-2824.13,50144,44105
E,1,1,IU,1,18,0,D,1503000000,2824.13,20,18,1,3,18,1,3,"HALLIBURTON ENERGY SERVICES        ",0,0,"50144          "," ",0,20180221,105305,"OE222     ",KSAUCEDOA1,"KSAUCEDO  ",113704,OE," ",1,832815,1,1,189,0,0,0,0,0,0,2824.13,50144,44105
E,1,1,CR,1,18,0,D,1001100000,166.00,20,18,1,2,18,1,3,"CASH-IN AUTO ENTRY                 ",1,7858,"         025434"," ",0,20180221,105245,"AR010     ",CSTEWARTA1,"CSTEWART  ",113648,OE," ",1,832083,0,1,144,0,1,20,18,1,2,166.00,"         025434",434520
E,1,1,CR,1,18,0,C,1021100000,166.00,20,18,1,2,18,1,3,"A/R TRADE AUTO ENTRY               ",1,7858,"         025434"," ",0,20180221,105246,"AR010     ",CSTEWARTA1,"CSTEWART  ",113648,OE," ",1,832083,0,1,144,0,1,20,18,1,2,-166.00,"         025434",434520
E,1,1,CR,1,18,0,D,1001100000,1712.91,20,18,1,2,18,1,3,"CASH-IN AUTO ENTRY                 ",1,7858,"         046612"," ",0,20180221,105245,"AR010     ",CSTEWARTA1,"CSTEWART  ",113648,OE," ",1,832845,0,1,118,0,1,20,18,1,2,1712.91,"         046612",216640
E,1,1,CR,1,18,0,C,1021100000,1712.91,20,18,1,2,18,1,3,"A/R TRADE AUTO ENTRY               ",1,7858,"         046612"," ",0,20180221,105246,"AR010     ",CSTEWARTA1,"CSTEWART  ",113648,OE," ",1,832845,0,1,118,0,1,20,18,1,2,-1712.91,"         046612",216640
E,1,1,CR,1,18,0,D,1001100000,1697.31,20,18,1,2,18,1,3,"CASH-IN AUTO ENTRY                 ",1,7858,"         046612"," ",0,20180221,105245,"AR010     ",CSTEWARTA1,"CSTEWART  ",113648,OE," ",1,833231,0,1,118,0,1,20,18,1,2,1697.31,"         046612",216640
E,1,1,CR,1,18,0,C,1021100000,1697.31,20,18,1,2,18,1,3,"A/R TRADE AUTO ENTRY               ",1,7858,"         046612"," ",0,20180221,105246,"AR010     ",CSTEWARTA1,"CSTEWART  ",113648,OE," ",1,833231,0,1,118,0,1,20,18,1,2,-1697.31,"         046612",216640
E,1,1,IU,1,18,0,C,1501000000,1224.43,20,18,1,3,18,1,3,"HALLIBURTON ENERGY SERVICES        ",0,0,"50893          "," ",0,20180221,105303,"OE222     ",KSAUCEDOA1,"KSAUCEDO  ",113748,OE," ",1,832881,1,1,189,0,0,0,0,0,0,-1224.43,50893,39805
E,1,1,IU,1,18,0,D,1503000000,1224.43,20,18,1,3,18,1,3,"HALLIBURTON ENERGY SERVICES        ",0,0,"50893          "," ",0,20180221,105305,"OE222     ",KSAUCEDOA1,"KSAUCEDO  ",113748,OE," ",1,832881,1,1,189,0,0,0,0,0,0,1224.43,50893,39805
E,1,1,IU,1,18,0,D,1501000000,37.13,20,18,1,3,18,1,3,"HALLIBURTON ENERGY SERVICES        ",0,0,"50893          "," ",0,20180221,105303,"OE222     ",KSAUCEDOA1,"KSAUCEDO  ",113748,OE," ",1,832881,1,1,189,0,0,0,0,0,0,37.13,50893,39805
E,1,1,IU,1,18,0,C,1503000000,37.13,20,18,1,3,18,1,3,"HALLIBURTON ENERGY SERVICES        ",0,0,"50893          "," ",0,20180221,105305,"OE222     ",KSAUCEDOA1,"KSAUCEDO  ",113748,OE," ",1,832881,1,1,189,0,0,0,0,0,0,-37.13,50893,39805
E,1,1,IU,1,18,0,C,1501000000,1217.04,20,18,1,3,18,1,3,"HALLIBURTON ENERGY SERVICES        ",0,0,"50893          "," ",0,20180221,105303,"OE222     ",KSAUCEDOA1,"KSAUCEDO  ",113748,OE," ",1,832881,1,1,189,0,0,0,0,0,0,-1217.04,50893,39805
E,1,1,IU,1,18,0,D,1503000000,1217.04,20,18,1,3,18,1,3,"HALLIBURTON ENERGY SERVICES        ",0,0,"50893          "," ",0,20180221,105305,"OE222     ",KSAUCEDOA1,"KSAUCEDO  ",113748,OE," ",1,832881,1,1,189,0,0,0,0,0,0,1217.04,50893,39805
E,1,1,CR,1,18,0,D,1001100000,7245.00,20,18,1,2,18,1,3,"CASH-IN AUTO ENTRY                 ",1,7858,"         090655"," ",0,20180221,105245,"AR010     ",CSTEWARTA1,"CSTEWART  ",113648,OE," ",1,829641,0,1,199,0,1,20,18,1,2,7245.00,"         090655",556090
E,1,1,CR,1,18,0,C,1021100000,7245.00,20,18,1,2,18,1,3,"A/R TRADE AUTO ENTRY               ",1,7858,"         090655"," ",0,20180221,105246,"AR010     ",CSTEWARTA1,"CSTEWART  ",113648,OE," ",1,829641,0,1,199,0,1,20,18,1,2,-7245.00,"         090655",556090
E,1,1,CR,1,18,0,D,1001100000,7749.00,20,18,1,2,18,1,3,"CASH-IN AUTO ENTRY                 ",1,7858,"         090655"," ",0,20180221,105245,"AR010     ",CSTEWARTA1,"CSTEWART  ",113648,OE," ",1,829628,0,1,199,0,1,20,18,1,2,7749.00,"         090655",556090
E,1,1,CR,1,18,0,C,1021100000,7749.00,20,18,1,2,18,1,3,"A/R TRADE AUTO ENTRY               ",1,7858,"         090655"," ",0,20180221,105246,"AR010     ",CSTEWARTA1,"CSTEWART  ",113648,OE," ",1,829628,0,1,199,0,1,20,18,1,2,-7749.00,"         090655",556090
E,1,1,CR,1,18,0,D,1001100000,150.00,20,18,1,2,18,1,3,"CASH-IN AUTO ENTRY                 ",1,7858,"         030518"," ",0,20180221,105245,"AR010     ",CSTEWARTA1,"CSTEWART  ",113648,OE," ",1,833317,0,1,125,0,1,20,18,1,2,150.00,"         030518",815030
E,1,1,CR,1,18,0,C,1021100000,150.00,20,18,1,2,18,1,3,"A/R TRADE AUTO ENTRY               ",1,7858,"         030518"," ",0,20180221,105246,"AR010     ",CSTEWARTA1,"CSTEWART  ",113648,OE," ",1,833317,0,1,125,0,1,20,18,1,2,-150.00,"         030518",815030
E,1,1,CR,1,18,0,D,1001100000,3078.71,20,18,1,2,18,1,3,"CASH-IN AUTO ENTRY                 ",1,7858,"         025043"," ",0,20180221,105245,"AR010     ",CSTEWARTA1,"CSTEWART  ",113648,OE," ",1,829598,0,1,116,0,1,20,18,1,2,3078.71,"         025043",340520
E,1,1,CR,1,18,0,C,1021100000,3078.71,20,18,1,2,18,1,3,"A/R TRADE AUTO ENTRY               ",1,7858,"         025043"," ",0,20180221,105246,"AR010     ",CSTEWARTA1,"CSTEWART  ",113648,OE," ",1,829598,0,1,116,0,1,20,18,1,2,-3078.71,"         025043",340520
E,1,1,CR,1,18,0,D,1001100000,294.00,20,18,1,2,18,1,3,"CASH-IN AUTO ENTRY                 ",1,7858,"         025043"," ",0,20180221,105245,"AR010     ",CSTEWARTA1,"CSTEWART  ",113648,OE," ",1,829928,0,1,116,0,1,20,18,1,2,294.00,"         025043",340520
E,1,1,CR,1,18,0,C,1021100000,294.00,20,18,1,2,18,1,3,"A/R TRADE AUTO ENTRY               ",1,7858,"         025043"," ",0,20180221,105246,"AR010     ",CSTEWARTA1,"CSTEWART  ",113648,OE," ",1,829928,0,1,116,0,1,20,18,1,2,-294.00,"         025043",340520
