IOITEM_ItemNumber,IOBPRC_BasePrice
51174,0.0000
51175,2.2500
51176,0.0000
51177,2.2500
51178,0.0000
51179,2.0500
51180,2.2500
51181,1.4800
51182,1.7000
51183,1.8000
51184,1.1500
51185,0.9000
51186,0.0000
51187,2.2500
51188,1.6200
51189,2.0000
51190,1.5000
51191,0.0000
51192,1.5000
51193,2.2500
51194,0.0000
51195,1.7500
51196,0.0000
51197,0.0000
51198,1.5500
51199,2.2500
51200,2.2000
51201,0.0000
51202,1.7000
51203,1.8000
51204,2.0000
51205,0.0000
51206,0.0000
51207,2.1500
51208,0.0000
51209,2.2500
51210,2.0500
51211,1.5000
51212,0.0000
51213,1.2000
51217,0.0000
51214,0.0000
51215,1.7500
51216,0.0000
51218,4.2300
51219,0.0000
51220,2.3300
51221,0.0000
51222,0.0000
51223,1.8000
51224,1.5100
51225,2.0000
51226,2.0000
51230,2.0000
51231,1.4500
51232,0.0000
51233,0.0000
51234,0.0000
51235,3.0400
51236,2.2500
51237,2.2500
51238,1.9000
51240,0.0000
51241,0.0000
51242,0.0000
51243,1.4500
51244,2.3000
51245,2.2500
51246,0.0000
51247,1.6000
51248,0.0000
51249,0.0000
51250,0.0000
51251,1.5000
51252,0.0000
51254,0.0000
51255,1.1500
51256,2.0000
51257,2.7500
51258,1.5500
51259,2.0000
51260,3.0000
51261,0.0000
51262,1.7100
51263,2.2500
51264,1.0000
51265,0.0000
51266,0.0000
51267,1.3000
51268,1.4500
51269,2.2500
51270,1.6000
51271,2.2500
51272,0.0000
51273,1.5000
51274,1.5000
51275,1.9000
51276,1.7500
51277,0.0000
51278,1.5000
51279,2.0000
51280,1.5000
51281,1.5000
51282,2.5000
51283,2.3500
51284,1.3500
51285,1.4800
51286,0.0000
51287,0.0000
51288,0.0000
51290,0.0000
51291,2.2500
51292,0.0000
51293,4.0200
51294,1.2000
51295,1.3000
51296,2.2500
51297,1.5000
51298,2.2500
51299,2.7500
51300,0.0000
51301,4.5000
51302,0.0000
51303,0.0000
51304,33.2000
51305,1.8500
51306,3.6800
51307,0.0000
51308,0.0000
51309,2.2500
51310,2.2500
51311,0.0000
51312,0.0000
51313,0.0000
51314,2.2100
51315,2.1500
51316,0.0000
51317,0.0000
51318,3.6000
51319,0.0000
51320,2.0000
51321,1.1500
51322,0.0000
51323,2.2500
51324,2.2500
51325,0.0000
51326,5.0000
51327,0.0000
51328,1.7200
51329,2.2500
51330,0.0000
51331,2.2500
51332,4.2700
51333,1.1500
51334,0.0000
51335,0.0000
51336,0.0000
51337,3.6800
51338,2.0000
51339,1.7100
51340,2.2500
51341,2.2500
51342,0.0000
51343,0.0000
51344,0.0000
51345,0.0000
51346,0.0000
51350,0.0000
51351,0.0000
51352,0.0000
51353,0.0000
51354,0.0000
51355,0.0000
51356,0.7000
51357,1.5000
51358,2.2500
51360,3.7500
51359,0.0000
51361,0.0000
51362,13.6300
51363,1.7500
51364,1.0800
51365,2.6500
51366,2.2500
51367,0.0000
51368,1.3000
51369,2.2500
51370,1.0000
51371,1.7500
51372,0.0000
51373,1.4500
51374,0.0000
51375,0.0000
51376,0.0000
51377,2.3000
51378,1.8500
51379,0.0000
51380,2.7500
51381,3.0000
51382,2.2500
51383,0.0000
51384,2.2500
51385,1.5000
51386,1.6500
51387,1.7000
51388,0.0000
51389,2.2000
51390,2.0000
51391,0.0000
51392,1.5000
51393,1.1500
51394,1.7500
51395,2.0500
51396,0.0000
51397,0.0000
51398,1.3800
51399,2.0000
51400,1.8000
51401,1.7500
51402,0.0000
51403,1.9000
51404,0.0000
51405,0.0000
51406,0.0000
51407,1.7500
51408,2.2500
51409,1.6500
51410,0.0000
51411,0.0000
51412,2.2500
51413,2.0000
51414,2.5000
51415,0.0000
51417,2.2500
51418,0.0000
51419,0.0000
51420,0.0000
51421,1.4800
51422,0.0000
51423,1.9000
51424,0.0000
51425,0.0000
51426,2.0000
51427,0.0000
