Numeric_Width_____ITWDTH,Text,26,Distinct: 26,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
ORG_REC_INV_QTY_____ITORRQ,Text,7223,Distinct: 7223,"17.082999999999998, 0.58399999999999996, 3.6669999999999998, 0.5, 2.6669999999999998",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
ORG_REC_PIECE_COUNT_____ITORRP,Text,195,Distinct: 195,"1.0, 1.0, 1.0, 1.0, 3.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
Original_ITEM#_1_____ITOIC1,Text,920,Distinct: 920,"     ,      ,      ,      ,      ",nvarchar,(MAX),289140,0,279643,0.00%,96.72%,0,4
Original_TAG#_1_____ITOIG1,Text,7548,Distinct: 7548,"       ,    1324,        ,        ,        ",nvarchar,(MAX),289140,0,279643,0.00%,96.72%,0,4
PO#_____ITPOOR,Text,14728,Distinct: 14728,"514363.0, 507974.0, 507724.0, 517038.0, 514862.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
Primary_Sort_Field_____ITPSRT,Text,214,Distinct: 214,"18.0, 5.25, 4.5, 8.5, 6.75",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
PROC_STATUS_DATE_____ITPSD,Text,2857,Distinct: 2857,"111717.0, 31819.0, 32222.0, 40623.0, 82422.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
Reserved_Quantity_____ITRQTY,Text,260,Distinct: 260,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
SECONDARY_TAG__QTY_____ITSQTY,Text,2141,Distinct: 2141,"0.0, 0.0, 0.0, 0.0, 23.25",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
Size_1_____ITSIZ1,Text,216,Distinct: 216,"5.25, 11.0, 5.25, 6.5, 4.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
Size_2_____ITSIZ2,Text,281,Distinct: 281,"0.0, 4.0, 4.5, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
Size_3_____ITSIZ3,Text,278,Distinct: 278,"0.0, 0.0, 0.0, 0.0, 1.125",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
Tag_Cost_____ITTCST,Text,41259,Distinct: 41259,"55.677399999999999, 120.7392, 26.627800000000001, 152.65280000000001, 211.5222",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
Tag_Master_Description_____ITTDES,Text,5860,Distinct: 5860,"1.875 BAR HF 4140 110 KSI QT..     , 5.563 3.063 1.250  HF 4130 LN80 QT , 4.500 BAR HF 4130 75 KSI NQT       , 5.250 3.750 .750 HF 4140 LN80 QT   , 19.000 BAR HF 4140 ANN++           ",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
TAG_NUMBER_ALPHA_____ITTAG,Text,289074,Distinct: 289074," 103221,  177181,  312922,  104099,  124749",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
Tag_Pieces_____ITTPCS,Text,82,Distinct: 82,"0.0, 0.0, 1.0, 0.0, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
Tag_Quantity_____ITTQTY,Text,2731,Distinct: 2731,"0.0, 0.0, 0.0, 0.5, 0.0",nvarchar,(MAX),289140,0,0,0.00%,0.00%,0,4
