Billing_Qty_____SHBQTY,Text,12622,Distinct: 12622,"0.64600000000000002, 1.0, 1.0, 1.0, 6.0",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
CITY_25_POS_____SHCITY,Text,428,Distinct: 428,"CARENCRO                 , HOUSTON                  , PATTISON                 , LAFAYETTE                , OGDEN                    ",nvarchar,(MAX),150390,0,2,0.00%,0.00%,0,4
Cust_P/O#_____SHCORD,Text,98827,Distinct: 98827,"912163                , 4517649289-CONSIGNME  , 11279                 , 1114354:5             , 21131                 ",nvarchar,(MAX),150390,0,1,0.00%,0.00%,0,4
CUSTOMER_NUMBER_____SHCUST,Text,1127,Distinct: 1127,"189.0, 981.0, 259.0, 236.0, 118.0",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
CUSTOMER_SHIP-TO_____SHSHTO,Text,123,Distinct: 123,"0.0, 4.0, 34.0, 3.0, 0.0",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Discnt_Sales_Direct_____SHDSLD,Text,503,Distinct: 503,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Discount_Sales_Stock_____SHDSLS,Text,4302,Distinct: 4302,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Freight_local+road_____SHFRGH,Text,42,Distinct: 42,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Frght_Sales_Stock_____SHFSLS,Text,154,Distinct: 154,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Frght-Out_Cost_Stock_____SHFOSS,Text,42,Distinct: 42,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
In_Sales_Dept_____SHDPTI,Text,22,Distinct: 22,"WAYNE          , MURRAY         , BEN            , BEN            , BEN            ",nvarchar,(MAX),150390,0,7392,0.00%,4.92%,0,4
Inside_Salesman_____SHINSM,Text,23,Distinct: 23,"1.0, 1.0, 1.0, 4.0, 9.0",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
ITEM_NUMBER_____SHITEM,Text,2147,Distinct: 2147,"50749, 50607, 50298, 51590, 50417",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Material_Cost_Direct_____SHMCSD,Text,4773,Distinct: 4773,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Material_Cost_Stock_____SHMCSS,Text,90072,Distinct: 90072,"554.79999999999995, 9.5700000000000003, 2084.1599999999999, 2629.5599999999999, 14513.66",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Material_Sales_Stock_____SHMSLS,Text,69687,Distinct: 69687,"170.0, 1658.0, 215.46000000000001, 105.0, 355.97000000000003",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Matl_Sales_Direct_____SHMSLD,Text,5316,Distinct: 5316,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Order_Qty_____SHOQTY,Text,4702,Distinct: 4702,"1.0, 10.0, 1.0, 6.0, 6.0",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Orig_cust#_____SHCSTO,Text,1127,Distinct: 1127,"189.0, 517.0, 179.0, 235.0, 863.0",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Out_Sales_Dept_____SHDPTO,Text,21,Distinct: 21,"WAYNE          , LACEY          , BEN            , MARTHA         , STEVE          ",nvarchar,(MAX),150390,0,5158,0.00%,3.43%,0,4
Outside_Salesman_____SHOUTS,Text,21,Distinct: 21,"1.0, 10.0, 4.0, 1.0, 1.0",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Proc_Sales_Stock_____SHPSLS,Text,14548,Distinct: 14548,"0.0, 0.0, 312.5, 550.0, 187.5",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Process_Sales_Direct_____SHPSLD,Text,1976,Distinct: 1976,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Processing_Cost_Direct_____SHPCSD,Text,1864,Distinct: 1864,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Processing_Cost_Stock_____SHPCSS,Text,13280,Distinct: 13280,"0.0, 0.0, 398.0, 932.38999999999999, 0.0",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Sales_Qty_Direct_____SHSLSD,Text,3479,Distinct: 3479,"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Sales_Qty_Stock_____SHSLSS,Text,13450,Distinct: 13450,"8.0, 1.458, 88.332999999999998, 20.75, 9.0",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Sales_Weight_Direct_____SHSWGD,Text,4683,Distinct: 4683,"0.0, 0.0, 0.0, 0.0, 429.00099999999998",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Sales_Weight_Stock_____SHSWGS,Text,54153,Distinct: 54153,"8113.6350000000002, 523.32799999999997, 484.61200000000002, 468.42899999999997, 374.42500000000001",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Shipped_Qty_____SHSQTY,Text,17208,Distinct: 17208,"1.333, 3.75, 1.208, 110.104, 5.1669999999999998",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Shipped_Total_FTS_____SHTFTS,Text,16431,Distinct: 16431,"20.312999999999999, 1.3959999999999999, 5.5830000000000002, 0.0, 1.667",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
Shipped_Total_LBS_____SHTLBS,Text,66497,Distinct: 66497,"0.0, 5023.5330000000004, 752.06100000000004, 2392.3180000000002, 2699.7860000000001",nvarchar,(MAX),150390,0,0,0.00%,0.00%,0,4
