P.I._MONTH_____IOPIMM,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
P.I._YEAR_____IOPIYY,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Previous_MAP_Century_____IOPMCC,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Previous_MAP_Code_____IOPMCD,Single Value,1,0 (2612),"0, 0, 0, 0, 0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Previous_MAP_Day_____IOPMDD,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Previous_MAP_Month_____IOPMMM,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Previous_MAP_Year_____IOPMYY,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Pricing_Movement_Code_____IOABCP,Single Value,1,: (1)," ,  ,  ,  ,  ",nvarchar,(MAX),2612,0,2611,0.00%,99.96%,0,7
Prior_Yr._Usage_Dollars_____IOPUSD,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Prior_Yr_Actual_Turns_____IOPATN,Single Value,1,0.0 (2612),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),2612,0,0,0.00%,0.00%,0,7
Proc_charge_code_____IOPRCD,Single Value,1,HEAT (1),"    ,     ,     ,     ,     ",nvarchar,(MAX),2612,0,2611,0.00%,99.96%,0,7
