COLUMN,TYPE,DISTINCT VALUES,SAMPLE DATA,VALUES INFO (TOP N / RANGE / SINGLE),DB DATA TYPE,DB TYPE DETAILS,TOTAL ROWS,NULL COUNT,WHITESPACE-ONLY COUNT,NUL PCT,WHITESPACE PCT,IS UNIQUE / FLAG,SORTORDER
ADMINISTRATIVE__BURDEN__COST_____ODADMB,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
BACK_ORDER_QUANTITY_____ODBKQT,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
BACK_ORDER_WHOLE_INCHES_____ODBKIN,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
BILL_OF_LADING_FLAG_____ODBOLF,Single Value,1,N (141634),"N, N, N, N, N",nvarchar,(MAX),151243,0,9609,0.00%,6.35%,0,7
BILL_OF_MAT_ITEMq_____ODBOMI,Single Value,1,N (145792),"N, N, N, N, N",nvarchar,(MAX),151243,0,5451,0.00%,3.60%,0,7
Blanket_Ref_Line_____ODBLINE,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
Buyout_Unit_Wgt_____ODBUNW,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
COMPANY_NUMBER_____ODCOMP,Single Value,1,1.0 (151243),"1.0, 1.0, 1.0, 1.0, 1.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
CONTRACT_NUMBER_____ODCONT,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
CUST.QTY_REFERENCE_____ODQREF,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
CUSTOMER_DISTRICT_____ODCDIS,Single Value,1,1.0 (151243),"1.0, 1.0, 1.0, 1.0, 1.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
CUSTOMER_LINE#_____ODCLIN,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
CUT_SIZES_ONLY____Y/N_____ODC,Single Value,1,N (3183)," ,  ,  ,  ,  ",nvarchar,(MAX),151243,0,148060,0.00%,97.90%,0,7
DECIMAL_INCHES_____ODINDL,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
DELIVERY_HOLD_FOR_RELEASE_____ODDHFR,Single Value,1,N (145791),"N, N, N, N, N",nvarchar,(MAX),151243,0,5452,0.00%,3.60%,0,7
Dimen._Expressed_Imperial/Metric_____ODDEXP,Single Value,1,I (151242),"I, I, I, I, I",nvarchar,(MAX),151243,0,1,0.00%,0.00%,0,7
FRACTIONAL_DENOMINATOR_LENGTH_____ODLFRD,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
FRACTIONAL_DENOMINATOR_WIDTH_____ODWFRD,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
FRACTIONAL_NUMERATOR_LENGTH_____ODLFRN,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
FRACTIONAL_NUMERATOR_WIDTH_____ODWFRN,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
FRACTIONAL_WHOLE_INCHES_LENGTH_____ODLFRC,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
FRACTIONAL_WHOLE_INCHES_WIDTH_____ODWFRC,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
FREIGHT___IN__COST_____ODFRTI,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
Hr_Avail/Day_____ODMHR,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
INBOUND_ORDER_TYPE_____ODIBOT,Single Value,1,PO (7229),"  ,   ,   ,   ,   ",nvarchar,(MAX),151243,0,144014,0.00%,95.22%,0,7
INV.RESERVE_QUOTE_Y/N_____ODRESF,Single Value,1,N (102960),"N,  , N,  , N",nvarchar,(MAX),151243,0,48283,0.00%,31.92%,0,7
Inv_Comp_____ODICMP,Single Value,1,1.0 (151243),"1.0, 1.0, 1.0, 1.0, 1.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
INVENTORY_RSRV_DIST_____ODINVD,Single Value,1,1.0 (151243),"1.0, 1.0, 1.0, 1.0, 1.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
MACHINE_HOURS_____ODMHRS,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
Min_Avail/Day_____ODMMIN,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
O/E_District_#_____ODDIST,Single Value,1,1.0 (151243),"1.0, 1.0, 1.0, 1.0, 1.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
OPER_BRDN__COST_LN/FLAT_____ODOPRL,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
OPER_BRDN_COST_LN/CALC_____ODOPRB,Single Value,1,0.0 (151243),"0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,7
