TableName,Column3,Rowcount,Prefix1,Suffix1,suffix2,suffix3,InferredName,Column1,TableCode,,Status,ProcessedTableCode,ProcessedTableName,Group,Prefix,Suffix1,Suffix2,Suffix3,Description
z_Customer_Master_File_____ARCUST, ,1278,AR,CUST,,,AccountsReceivable Customer,,ARCUST,,ok,ARCUST,z_Customer_Master_File_____ARCUST,Accounts Receivable,AR,CUST,,,AR Customer Master
z_Customer_Number_for_TS_to_be_01_____ARCUST_01, ,383,AR,CUST,1,,AccountsReceivable Customer,,ARCUST_01,,Missing,,,,,,,,
z_Customer_Number_for_TS_to_be_40_____ARCUST_40, ,55,AR,CUST,40,,AccountsReceivable Customer 40,,ARCUST_40,,Missing,,,,,,,,
z_Customer_Master_File_____ARCUST_B4, ,438,AR,CUST,B4,,AccountsReceivable Customer B4,,ARCUST_B4,,,ARCUST_B4,z_Customer_Master_File_____ARCUST_B4,Accounts Receivable,AR,CUST,B4,,AR Customer Master Backup
z_Year_End_Summary_of_ARCUSHST_____ARCUSYEH, ,6342,AR,CUS,YE,H,AccountsReceivable Customer YearEnd History,,ARCUSYEH,,Missing,,,,,,,,
z_Discrepancy_Code_File_____ARDCRP, ,12,AR,DCRP,,,AccountsReceivable Discrepancy,,ARDCRP,,Missing,,,,,,,,
z_A/R_Detail_File_____ARDETAL, ,147862,AR,DETAL,,,AccountsReceivable Detail,,ARDETAL,,ok,ARDETAL,z_A/R_Detail_____ARDETAL,Accounts Receivable,AR,DETAL,,,AR Detail
z_Additional_Charge_Reconciliation_File_____ARECONCL, ,193,AR,ECONCL,,,AccountsReceivable rEconciliation,,ARECONCL,,ok,ARECONCL,z_AR_Receivable_Reconciliation_File_____ARECONCL,Accounts Receivable,AR,ECONCL,,,AR Receivable Reconciliation
z_A/R_Cash_Receipts_G/L_Entries_____ARGLTR, ,340700,AR,GL,TR,,AccountsReceivable GeneralLedger Transaction,,ARGLTR,,Missing,,,,,,,,
z_Customer_A/R_Information_____ARINFO, ,309,AR,INFO,,,AccountsReceivable Info,,ARINFO,,ok,ARINFO,z_Customer_A/R_Information_____ARINFO,Accounts Receivable,AR,INFO,,,AR Information
z_A/R_Lock_Box_Code_File_____ARLOCK, ,8,AR,LOCK,,,AccountsReceivable Lock,,ARLOCK,,ok,ARLOCK,z_A/R_Lockbox_Codes_____ARLOCK,Accounts Receivable,AR,LOCK,,,AR Lockbox Codes
z_A/R_Paymnt_Hst--Key_=_dist/cust/yy/mm_____ARPAYHST, ,90559,AR,PAY,HST,,AccountsReceivable Paymet History,,ARPAYHST,,Missing,,,,,,,,
z_Descrepancy_Reason_Code_File_____ARREAS, ,9,AR,REAS,,,AccountsReceivable Reason,,ARREAS,,Missing,,,,,,,,
z_Barcode_Checks_____BCCHECKS, ,99,BC,CHECKS,,,BarCode Checks,,BCCHECKS,,Missing,,,,,,,,
z_BDSEPR_-_Buyout_Override_info_____BDSEPR, ,9667,BD,SEPR,,,BD SEPR,,BDSEPR,,ok,BDSEPR,z_BD_Revenue_Separator_____BDSEPR,Business Development,BD,SEPR,,,Business Development Revenue Separator
z_BDSEPR_-_Buyout_Override_info_____BDSEPRBH, ,148,BD,SEPR,BH,,BD SEPR Buyout History,,BDSEPRBH,,Missing,,,,,,,,
z_Billing_Days:_YTD/MTD_Accumulator_____BILLDAYS, ,7,BILLDAYS,BILLDAYS,,,Billing Days,,BILLDAYS,,ok,BILLDAYS,z_Billing_Days_file_____BILLDAYS,Billing,BILLDAYS,,,,Billing Days
z_Bookings_Information_file_____BOOKINF, ,9,BOOK,BOOKINF,,,Booking Information,,BOOKINF,,ok,BOOKINF,z_Book_Information_File_____BOOKINF,Books,BOOK,INF,,,Book Information
z_Buyer_File_____BUYER, ,14,BUYER,,,,Buyer,,BUYER,,ok,BUYER,z_Buyer_Master_File_____BUYER,Purchasing,BUYER,,,,Buyer Master
z_System_Calendar_File_____CALENDAR, ,192,CALENDAR,,,,Calendar,,CALENDAR,,ok,CALENDAR,z_Calendar_File_____CALENDAR,System,CALENDAR,,,,Calendar
z_Customer_Class_Summary_file_MTD_____CCLSMT, ,35540,C,CLS,MT,,Customer Class MonthToDate,,CCLSMT,,ok,CCLSMT,z_Customer_Class_-_Company_____%_%_____CCLSMT,Customer Management,C,CLS,MT,,Customer Class Company
z_Customer_Class_Summary_file_YTD_____CCLSYT, ,9909,C,CLS,YT,,CustomerClassYearToDate,,CCLSYT,,Missing,,,,,,,,
z_Chemical_Analysis_____CHEMTAGM, ,8,CHEM,TAG,M,,Chemicalanalysis TAG M,,CHEMTAGM,,ok,CHEMTAGM,z_Chemical_Analysis_____CHEMTAGM,Analysis,CHEM,TAGM,,,Chemical Analysis
z_Charge_History_File_____CHGHST, ,68458,CHG,HST,,,Charge History,,CHGHST,,Missing,,,,,,,,
z_Credit_Memo_Major_Reason_Code_File_____CMMAJOR, ,8,CM,MAJOR,,,CreditMemo Major,,CMMAJOR,,Missing,,,,,,,,
z_Credit_Memo_Major_Reason_Code_File_____CMMINOR, ,17,CM,MINOR,,,CreditMemo Minor,,CMMINOR,,Missing,,,,,,,,
z_Customer_Collection_Comments_____COLCMT, ,2,COL,CMT,,,Collection Comment,,COLCMT,,Missing,,,,,,,,
z_Company_Standard_Mill_Order_File_(SMO)_____COMPSMO, ,287,COMP,SMO,,,Company StandardMillOrder,,COMPSMO,,Missing,,,,,,,,
z_A/R_Customer_Contact_Code_____CONTCODE, ,12,CONT,CODE,,,Contact Code,,CONTCODE,,ok,CONTCODE,z_A/R_Customer_Contact_Code_____CONTCODE,Contact Management,CONT,CODE,,,Contact Code
z_Country_File_____COUNTRY, ,171,COUNTRY,,,,Country,,COUNTRY,,ok,COUNTRY,z_Country_File_____COUNTRY,Geographic,COUNTRY,,,,Country
z_Credit_Analyst_File_____CRANAL, ,5,CR,Anal,,,Credit Analysis,,CRANAL,,ok,CRANAL,z_Credit_Analysts_____CRANAL,Credit Management,CR,ANAL,,,Credit Analysts
z_Credit_Application_History_File_____CRAPLHIS, ,33,CR,AP,HIS,,Credit Application History,,CRAPLHIS,,Missing,,,,,,,,
z_Credit_Comment_File_____CRCOMMNT, ,22384,CR,COMMNT,,,Credit Comment,,CRCOMMNT,,ok,CRCOMMNT,z_Credit_Memo_Comment_____CRCOMMNT,Credit Management,CR,COMMNT,,,Credit Memo Comment
z_Credit_Memo_Detail_File_____CRDETAIL, ,5452,CR,DETAIL,,,Credit Detail,,CRDETAIL,,ok,CRDETAIL,z_Credit_Memo_Detail_File_____CRDETAIL,Credit Management,CR,DETAIL,,,Credit Memo Detail
z_Credit_Memo_Header_File_____CRHEADER, ,5450,CR,HEADER,,,Credit Header,,CRHEADER,,ok,CRHEADER,z_Credit_Memo_Header_File_____CRHEADER,Credit Management,CR,HEADER,,,Credit Memo Header
z_A/R_History_File_____CRHIST, ,148980,CR,HIST,,,Credit History,,CRHIST,,Missing,,,,,,,,
z_Currency_Code_____CURRCODE, ,2,CURR,CODE,,,Currency Code,,CURRCODE,,ok,CURRCODE,z_Currency_Code_____CURRCODE,Finance,CURR,CODE,,,Currency Code
z_Customer_Invoice_Address_File_____CUSINVAD, ,1278,CUS,INV,AD,,CUStomer INVoice ADdress,,CUSINVAD,,Missing,,,,,,,,
z_Customer_Price_Class_File_____CUSPRCLS, ,3,CUS,PR,CLS,,Customer Price Class,,CUSPRCLS,,Missing,,,,,,,,
z_Customer_Master_Add_Code_File_____CUSTADD, ,7,CUST,ADD,,,Customer Add code,,CUSTADD,,ok,CUSTADD,z_Customer_Master_Add_Code_File_____CUSTADD,Customer Management,CUST,ADD,,,Customer Address
z_Customer_Parent_File_____CUSTPARN, ,8,CUST,PARN,,,Customer Parent,,CUSTPARN,,ok,CUSTPARN,z_Customer_Parent_File_____CUSTPARN,Customer Management,CUST,PARN,,,Customer Parent
z_Cutting_Code_Header_File____quote#_1747__12/20/90_____CUTTHEAD, ,383,CUTT,HEAD,,,CuttingCode Header,,CUTTHEAD,,ok,CUTTHEAD,z_Cutting_Code_Header_File____quote#_1747__12/20/90_____CUTTHEAD,Manufacturing,CUTT,HEAD,,,Cutting Code Header
z_Cutting_Code_Matrix_File   _quote#_1747__12/20/90_____CUTTMTX, ,640,CUTT,MTX,,,CuttingCode Matrix,,CUTTMTX,,Missing,,,,,,,,
z_District_--_Cutting_Code_Tolerances_____CUTTOLD, ,377,,,,,,,CUTTOLD,,Missing,,,,,,,,
z_A/P_Debit_Memo_Print_Workfile_-_Detail_____DBDWRK, ,81,,,,,,,DBDWRK,,Missing,,,,,,,,
z_A/P_Debit_Memo_Print_Workfile_-_Header_____DBHWRK, ,79,,,,,,,DBHWRK,,Missing,,,,,,,,
z_Delivery_Tracking_Performance_File_____DELTRACK, ,3898,,,,,,,DELTRACK,,Missing,,,,,,,,
z_District_Application_Printer_File_____DISTRAFF, ,329,,,,,,,DISTRAFF,,Missing,,,,,,,,
z_District_Application_Printer_File_____DISTRPRT, ,2,,,,,,,DISTRPRT,,Missing,,,,,,,,
z_Query_Builder_Physical_File_____DPPFFD, ,922,,,,,,,DPPFFD,,Missing,,,,,,,,
z_Duty_Rate_____DUTYRATE, ,10,,,,,,,DUTYRATE,,Missing,,,,,,,,
z_EDICD1__--_EDI_1_position_codes_____EDICD1, ,40,,,,,,,EDICD1,,Missing,,,,,,,,
z_EDICD2__--_EDI_2_position_codes_____EDICD2, ,36,,,,,,,EDICD2,,Missing,,,,,,,,
z_EDICD2A__--_EDI_2A_position_codes_____EDICD2A, ,94,,,,,,,EDICD2A,,Missing,,,,,,,,
z_EDICD2__--_EDI_3_position_codes_____EDICD3, ,395,,,,,,,EDICD3,,Missing,,,,,,,,
z_EDICD4__--_EDI_4_position_codes_____EDICD4, ,84,,,,,,,EDICD4,,Missing,,,,,,,,
z_EDI_Process_codes_from_TABLE_66_____EDITAB66, ,189,,,,,,,EDITAB66,,Missing,,,,,,,,
z_E-Mail_additional_copies_____EMADDTL, ,177,,,,,,,EMADDTL,,Missing,,,,,,,,
z_MW_Email_Log_File_____EMAILLOG, ,7338,,,,,,,EMAILLOG,,Missing,,,,,,,,
z_MW_Emall_Type_File_____EMAILTYPE, ,21,,,,,,,EMAILTYPE,,Missing,,,,,,,,
z_Email_forms_____EMFORM, ,48,,,,,,,EMFORM,,Missing,,,,,,,,
z_Email_forms_____EMFORM_B4, ,12,,,,,,,EMFORM_B4,,Missing,,,,,,,,
z_Last_Day_of_Period_File_____EMLSTDAY, ,130,,,,,,,EMLSTDAY,,Missing,,,,,,,,
z_Employee_File_____EMPLOYE, ,99,,,,,,,EMPLOYE,,Missing,,,,,,,,
z_Employee_Parms_file_____EMPPARMS, ,99,,,,,,,EMPPARMS,,Missing,,,,,,,,
z_Employee_Quote_File_____EMPQUOTE, ,99,,,,,,,EMPQUOTE,,Missing,,,,,,,,
z_Empoyee_validation/password_____EMPVALID, ,21,,,,,,,EMPVALID,,Missing,,,,,,,,
z_Industry_End_Use_Code_File_____ENDUSE, ,139,,,,,,,ENDUSE,,Missing,,,,,,,,
z_Currency_Exchange_File_____EXCHANGE, ,2336,,,,,,,EXCHANGE,,Missing,,,,,,,,
z_Currency_Exchange_Transation_File_____EXHTRANS, ,44326,,,,,,,EXHTRANS,,Missing,,,,,,,,
z_Fast_Path_Description_File_____FASTPATH, ,5443,,,,,,,FASTPATH,,Missing,,,,,,,,
z_Fast_Path_Key_-_used_to_determine_fields_used_____FASTPKEY, ,10,,,,,,,FASTPKEY,,Missing,,,,,,,,
z_Forecast_Rules_partxrf_____FCPARTX, ,3,,,,,,,FCPARTX,,Missing,,,,,,,,
z_A/R_-to-_Frt/Claim_Xref_____FCXREF, ,571,,,,,,,FCXREF,,Missing,,,,,,,,
z_Daily_Flash_Reconciliation_____FLASHINV, ,2998,,,,,,,FLASHINV,,Missing,,,,,,,,
z_Daily_Flash_Report_____FLASHRPT, ,40464,,,,,,,FLASHRPT,,Missing,,,,,,,,
z_Fraction/Decimal_Control_File_____FRACDEC, ,120,,,,,,,FRACDEC,,Missing,,,,,,,,
z_Freight_Reconciliation_File_____FRECONCL, ,0,,,,,,,FRECONCL,,Missing,,,,,,,,
z_Freight_Reconciliation_File_____FRTHST, ,0,,,,,,,FRTHST,,Missing,,,,,,,,
z_Generic_CPA_File_____GENCPA, ,42,,,,,,,GENCPA,,Missing,,,,,,,,
z_General_Ledger_Account_file_____GLACCT, ,258,,,,,,,GLACCT,,Missing,,,,,,,,
z_mp_debits/credits_from_gl_trans_file_____GLDEBCRED, ,1658,,,,,,,GLDEBCRED,,Missing,,,,,,,,
z_G/L_Journal_Batch_Header_File_____GLJRBA, ,1406,,,,,,,GLJRBA,,Missing,,,,,,,,
z_G/L_Journal_Detail_File_____GLJRDT, ,17036,,,,,,,GLJRDT,,Missing,,,,,,,,
z_G/L_Journal_Header_File_____GLJRHD, ,2474,,,,,,,GLJRHD,,Missing,,,,,,,,
z_G/L_Major_Heading_file_____GLMAJHD, ,28,,,,,,,GLMAJHD,,Missing,,,,,,,,
z_General_Ledger_Master_File_____GLMAST, ,258,,,,,,,GLMAST,,Missing,,,,,,,,
z_General_Ledger_Master_File_-_HISTORY_____GLMASTHST, ,1508,,,,,,,GLMASTHST,,Missing,,,,,,,,
z_General_Ledger_Report_File_____GLRPTF, ,109,,,,,,,GLRPTF,,Missing,,,,,,,,
z_General_Ledger_Transaction_File_____GLTRANS, ,2944807,,,,,,,GLTRANS,,Missing,,,,,,,,
z_IATRANS_-_History_(Save_Batch)_____IATRANHS, ,493031,,,,,,,IATRANHS,,Missing,,,,,,,,
z_IATRANS_-_Inventory_Adj_Transactions_____IATRANS, ,27,,,,,,,IATRANS,,Missing,,,,,,,,
z_IC011_Filing_exceptions_____IC011SLSP, ,353,,,,,,,IC011SLSP,,Missing,,,,,,,,
z_Image_PDF_____IMAGEPDF, ,108347,,,,,,,IMAGEPDF,,Missing,,,,,,,,
z_Image_PDF_____IMAGEPDFB4, ,494,,,,,,,IMAGEPDFB4,,Missing,,,,,,,,
z_Image_Index_Criteria_Control_File_____IMGINDX, ,13,,,,,,,IMGINDX,,Missing,,,,,,,,
z_Image_Index_Available_Fields_with_Descriptions_____IMGPFDS, ,42,,,,,,,IMGPFDS,,Missing,,,,,,,,
z_Inventory_Mill_File_____INVMILL, ,74,,,,,,,INVMILL,,Missing,,,,,,,,
z_Inventory_Reconciliation_File_____IRECONCL, ,26,,,,,,,IRECONCL,,Missing,,,,,,,,
z_Item_Master_File_____ITEMBG, ,1781,,,,,,,ITEMBG,,Missing,,,,,,,,
z_One_Position_Item_Class_File_____ITEMCLS1, ,16,,,,,,,ITEMCLS1,,Missing,,,,,,,,
z_Two_Position_Item_Class_File_____ITEMCLS2, ,69,,,,,,,ITEMCLS2,,Missing,,,,,,,,
z_Three_Position_Item_Class_File_____ITEMCLS3, ,172,,,,,,,ITEMCLS3,,Missing,,,,,,,,
z_District_Class_File_____ITEMCLSD, ,144,,,,,,,ITEMCLSD,,Missing,,,,,,,,
z_Item_Hist_Comments_(From_IA_Only)_____ITEMHCMT, ,106616,,,,,,,ITEMHCMT,,Missing,,,,,,,,
z_Item_Transaction_History_____ITEMHIST, ,722325,,,,,,,ITEMHIST,,Missing,,,,,,,,
z_Item_Master_File_____ITEMMAST, ,2613,,,,,,,ITEMMAST,,Missing,,,,,,,,
z_Item_Master_File_____ITEMMASTXX, ,30170,,,,,,,ITEMMASTXX,,Missing,,,,,,,,
z_MAP_Level_Code_File_____ITEMMPLV, ,5,,,,,,,ITEMMPLV,,Missing,,,,,,,,
z_Item_on_hand_comment_file_____ITEMONCM, ,1079,,,,,,,ITEMONCM,,Missing,,,,,,,,
z_Item_on_Hand_File_____ITEMONHD, ,2612,,,,,,,ITEMONHD,,Missing,,,,,,,,
z_Item_on_Hand_File_____ITEMONHDXX, ,10234,,,,,,,ITEMONHDXX,,Missing,,,,,,,,
z_Item_on_Hand_Summary_File_____ITEMONSU, ,28,,,,,,,ITEMONSU,,Missing,,,,,,,,
z_Item_Summary_-_Begin_Remote_Inventory_Balance_____ITEMRMT, ,59062,,,,,,,ITEMRMT,,Missing,,,,,,,,
z_Base_Item_Description_List_____ITEMS, ,134053,,,,,,,ITEMS,,Missing,,,,,,,,
z_Item_Summary_MTD-Inventory_reports_____ITEMSMT, ,179635,,,,,,,ITEMSMT,,Missing,,,,,,,,
z_Item_Summary_YTD-Inventory_reports_____ITEMSYT, ,19369,,,,,,,ITEMSYT,,Missing,,,,,,,,
z_Tag_Master_File_____ITEMTAG, ,289140,,,,,,,ITEMTAG,,Missing,,,,,,,,
z_Tag_Master_File_____ITEMTAGB4, ,238501,,,,,,,ITEMTAGB4,,Missing,,,,,,,,
z_Tag_Master_File_____ITEMTAGLAH, ,238502,,,,,,,ITEMTAGLAH,,Missing,,,,,,,,
z_Tag_Process_History_File_____ITEMTPHS, ,7100,,,,,,,ITEMTPHS,,Missing,,,,,,,,
z_Itemtrif_-_Item_Tariff_File_____ITEMTRIF, ,263,,,,,,,ITEMTRIF,,Missing,,,,,,,,
z_Item_Tag_User_Defined_fields_____ITEMTUD, ,196770,,,,,,,ITEMTUD,,Missing,,,,,,,,
z_line_comment_changes_____LINECCHG, ,13320,,,,,,,LINECCHG,,Missing,,,,,,,,
z_Line_Related_Comments_____LINECMNT, ,933555,,,,,,,LINECMNT,,Missing,,,,,,,,
z_Line_Comment_Code_Constants_____LINECNST, ,14,,,,,,,LINECNST,,Missing,,,,,,,,
z_List_/_Heat_Number_____LISTHEAT, ,19662,,,,,,,LISTHEAT,,Missing,,,,,,,,
z_Machine_File_____MACHINE, ,2,,,,,,,MACHINE,,Missing,,,,,,,,
z_Maintenance_history_____MAINTHIST, ,6363,,,,,,,MAINTHIST,,Missing,,,,,,,,
z_Material_Rejection_Major_Cause_code_____MAJREJ, ,17,,,,,,,MAJREJ,,Missing,,,,,,,,
z_MASSBPC_-_Mass_maint/base_price_____MASSBPC, ,5,,,,,,,MASSBPC,,Missing,,,,,,,,
z_MASSBPC_-_Mass_maint/base_price_.CSV_converter_____MASSBPCIFS, ,6,,,,,,,MASSBPCIFS,,Missing,,,,,,,,
z_Metalweb_FMG_interface_____METALFMG, ,8,,,,,,,METALFMG,,Missing,,,,,,,,
z_Material_Rejection_Minor_Cause_codes_____MINREJ, ,26,,,,,,,MINREJ,,Missing,,,,,,,,
z_Manifest_____MNFEST, ,374,,,,,,,MNFEST,,Missing,,,,,,,,
z_Material_Processing_Order_Detail_____MPDETAIL, ,455,,,,,,,MPDETAIL,,Missing,,,,,,,,
z_Material_Processing_Order_Header_____MPHDRORD, ,456,,,,,,,MPHDRORD,,Missing,,,,,,,,
z_M/P_Final_Detail_____MPHSTDET, ,1872,,,,,,,MPHSTDET,,Missing,,,,,,,,
z_M/P_Final_Header_____MPHSTHDR, ,1869,,,,,,,MPHSTHDR,,Missing,,,,,,,,
z_M/P_Final_Processing_Charges_____MPHSTPRC, ,6167,,,,,,,MPHSTPRC,,Missing,,,,,,,,
z_M/P_Final_Restock_____MPHSTRSK, ,7656,,,,,,,MPHSTRSK,,Missing,,,,,,,,
z_M/P_Final_Used_____MPHSTUSE, ,6554,,,,,,,MPHSTUSE,,Missing,,,,,,,,
z_Output_file_for_DSPFD_TYPE(*MBRLIST)_____MPMISS, ,2,,,,,,,MPMISS,,Missing,,,,,,,,
z_Material_Processing_Order_Profile_____MPPROFIL, ,456,,,,,,,MPPROFIL,,Missing,,,,,,,,
z_MP_Setup_Control_File_____MPSETUP, ,1924,,,,,,,MPSETUP,,Missing,,,,,,,,
z_MP_Tracking_File_____MPTRCK, ,1748,,,,,,,MPTRCK,,Missing,,,,,,,,
z_MP_Tracking_History_File_____MPTRKHST, ,26661,,,,,,,MPTRKHST,,Missing,,,,,,,,
z_Material_Rejection_Transaction_File_____MRTRANS, ,21,,,,,,,MRTRANS,,Missing,,,,,,,,
z_Setup_Whole_Order_Line_Related_Comments_____MSWOCMNT, ,7,,,,,,,MSWOCMNT,,Missing,,,,,,,,
z_Customer_Master_File_____MWARCUST, ,980,,,,,,,MWARCUST,,Missing,,,,,,,,
z_mw100_reset_audit_trail_____MWRESET, ,1824,,,,,,,MWRESET,,Missing,,,,,,,,
z_Credit-Held_Order_Release_File_____OECRRELS, ,48601,,,,,,,OECRRELS,,Missing,,,,,,,,
